previous_experiment,previous_label,current_experiment,current_label,metric,unit,previous,current,absolute_change,relative_change_pct,comparable,previous_source,current_source,seed,period,population,absolute_change_unit
exp003,exp003 正式,exp006,exp006 正式·树DP,load_rmse,kW,239.604570800335,252.128225661351,12.523654861016,5.22680131651247,True,data/results/exp003/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,pv_generating,kW
exp003,exp003 正式,exp006,exp006 正式·树DP,load_wape_pct,%,3.2856438938968,3.61076236939042,0.32511847549362,9.89512211282359,True,data/results/exp003/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,pv_generating,百分点
exp003,exp003 正式,exp006,exp006 正式·树DP,load_bias,kW,0.370520936875117,95.8541454795668,95.4836245426917,25770.1023180976,True,data/results/exp003/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,pv_generating,kW
exp003,exp003 未校准,exp006,exp006 正式·树DP,load_mae,kW,158.417444948997,191.830924953953,33.4134800049566,21.09204577546,True,data/results/exp003/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,pv_generating,kW
exp003,exp003 未校准,exp006,exp006 正式·树DP,load_rmse,kW,211.729234006784,252.128225661351,40.3989916545671,19.0804977140156,True,data/results/exp003/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,pv_generating,kW
exp003,exp003 未校准,exp006,exp006 正式·树DP,load_wape_pct,%,2.98183282499482,3.61076236939042,0.6289295443956,21.09204577546,True,data/results/exp003/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,pv_generating,百分点
exp003,exp003 未校准,exp006,exp006 正式·树DP,load_bias,kW,-10.0640286622171,95.8541454795668,105.918174141784,1052.44308911229,True,data/results/exp003/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,pv_generating,kW
exp004,exp004 无季节,exp006,exp006 正式·树DP,load_mae,kW,191.830924953953,191.830924953953,0,0,True,data/results/exp004/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,pv_generating,kW
exp004,exp004 无季节,exp006,exp006 正式·树DP,load_rmse,kW,252.128225661351,252.128225661351,0,0,True,data/results/exp004/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,pv_generating,kW
exp004,exp004 无季节,exp006,exp006 正式·树DP,load_wape_pct,%,3.61076236939042,3.61076236939042,0,0,True,data/results/exp004/forecast_annual.csv,data/results/exp004/forecast_annual.csv,42,2025-02-01/2025-12-31,pv_generating,百分点
