date,total_cost_current,total_cost_baseline,difference_yuan
2025-07-11,30575.9314768479,25642.2523533566,4933.67912349132
2025-07-12,30014.4341040055,25435.057547065,4579.37655694046
2025-07-13,57435.3509502972,54784.7276733302,2650.62327696701
2025-07-14,56084.7145656624,51472.2140616281,4612.50050403432
2025-07-15,55419.3416211591,51941.7787706635,3477.56285049555
2025-07-16,56417.5209877591,52299.0549589257,4118.46602883339
2025-07-17,57396.2697460399,51044.6120558388,6351.65769020113
2025-07-18,30464.4122195806,25529.5337390645,4934.87848051614
2025-07-19,30340.07879144,25128.3515651346,5211.72722630545
2025-07-20,56457.089240656,51576.2957913247,4880.79344933126
2025-07-21,55563.0104673124,53316.9835005421,2246.02696677026
2025-07-22,57685.9127771191,54081.2012888112,3604.71148830792
2025-07-23,57026.0120843871,52969.6207494956,4056.39133489144
2025-07-24,57341.7896351743,52308.0651375831,5033.72449759119
2025-07-25,29140.66529185,24806.2994429352,4334.36584891472
2025-07-26,30000.0755941143,25020.9957168393,4979.07987727497
2025-07-27,54438.7859320691,51852.9160426242,2585.8698894449
2025-07-28,56647.162674545,53039.4449652521,3607.71770929296
2025-07-29,56827.0997239083,56464.3939948659,362.705729042362
2025-07-30,55356.5656949421,53967.0867539735,1389.47894096864
2025-07-31,57101.9034995721,51981.561166321,5120.34233325109
2025-08-01,28361.4027721444,23803.928362588,4557.47440955641
2025-08-02,26444.4577857009,23182.6960535048,3261.76173219606
2025-08-03,51504.3671747935,49419.5228244977,2084.84435029578
2025-08-04,50046.5304235916,46056.4572092658,3990.07321432581
2025-08-05,49617.310446634,47067.5892192953,2549.7212273387
2025-08-06,53813.7596302869,49372.2523959429,4441.50723434394
2025-08-07,50218.2933603246,48671.1797038104,1547.11365651418
2025-08-08,25152.203695634,23663.9570832387,1488.24661239528
2025-08-09,25228.2426854224,23051.7860255839,2176.45665983852
2025-08-10,49470.9187799494,47795.9035295687,1675.0152503807
2025-08-11,50891.4572470246,48893.7906535665,1997.6665934581
2025-08-12,51304.5069844461,47503.2825400491,3801.22444439701
2025-08-13,50780.7939449677,49294.9273385109,1485.86660645678
2025-08-14,52821.7658935147,48146.4609160714,4675.30497744328
2025-08-15,25485.1564055286,23282.2612242738,2202.89518125481
2025-08-16,25420.7450282877,23220.0849805432,2200.66004774449
2025-08-17,49912.0349311112,46756.7114440318,3155.3234870794
2025-08-18,49331.578301017,47515.5601828762,1816.0181181408
2025-08-19,49561.0024847971,47833.6984565918,1727.30402820533
2025-08-20,55960.828568932,51090.4780147221,4870.35055420994
2025-08-21,51752.4933677847,50438.7081258374,1313.78524194733
2025-08-22,26823.1201721105,25454.6488243455,1368.47134776504
2025-08-23,25339.7547618533,23664.5556676567,1675.19909419657
2025-08-24,50540.5046215914,48786.2123169514,1754.29230464007
2025-08-25,49961.813304772,47599.6818639392,2362.13144083283
2025-08-26,51064.7695142695,51107.4921806437,-42.7226663742185
2025-08-27,49761.853654964,47236.4797675676,2525.37388739638
2025-08-28,52952.5995643014,49550.5574431237,3402.0421211777
2025-08-29,26905.0829139364,24095.5371836962,2809.54573024017
2025-08-30,25834.7038039756,24261.1362400636,1573.56756391198
2025-08-31,50267.0616316457,47620.5069291406,2646.55470250505
2025-09-01,49457.3007063743,48259.2903815428,1198.0103248315
2025-09-02,47763.4859491669,45975.9244788458,1787.5614703211
2025-09-03,47001.5625282042,45395.7487611444,1605.81376705976
2025-09-04,47996.8459657599,46790.7563819156,1206.08958384428
2025-09-05,25332.238755582,22957.8110890593,2374.42766652273
2025-09-06,24269.4266572175,22502.5838973017,1766.84275991578
2025-09-07,47241.8159311855,44948.8751245702,2292.94080661527
2025-09-08,43969.1283825009,43077.3303674275,891.798015073466
2025-09-09,43779.8445193777,42568.5151971042,1211.32932227353
2025-09-10,50691.3744315898,51053.5050730137,-362.130641423893
2025-09-11,44589.7003596111,42884.3675860925,1705.33277351857
2025-09-12,19490.7830324724,17599.0129986285,1891.77003384386
2025-09-13,19454.1800561094,17867.5613532298,1586.6187028796
2025-09-14,42315.4960666786,38732.3047304127,3583.19133626589
2025-09-15,42909.1466938071,42817.5072643444,91.6394294626662
2025-09-16,43138.9625170152,40623.0136875434,2515.94882947182
2025-09-17,43169.3618269982,41455.4338950706,1713.92793192763
2025-09-18,42858.1017129424,42061.2435313939,796.858181548436
2025-09-19,19606.110419787,18030.3028082853,1575.80761150176
2025-09-20,20040.1473203522,17969.6837695358,2070.46355081643
2025-09-21,44189.8539558909,43285.4775294307,904.376426460141
2025-09-22,44223.0725024153,41303.2248802725,2919.84762214274
2025-09-23,44341.4089686826,43671.2422108726,670.166757810024
2025-09-24,44538.7071272172,43303.9048175559,1234.80230966127
2025-09-25,45480.6118018036,42626.904890492,2853.70691131157
2025-09-26,19644.3416336873,18676.8822665867,967.459367100622
2025-09-27,21819.0649124545,18382.4642260939,3436.60068636051
2025-09-28,46752.7540166689,44813.8573882301,1938.89662843881
2025-09-29,46109.6315816362,45635.3170602604,474.314521375782
2025-09-30,46647.0240336488,44881.8982222482,1765.12581140065
2025-10-01,45517.9982991745,46655.4119789506,-1137.41367977613
2025-10-02,40907.5605537695,37984.467621367,2923.09293240245
2025-10-03,17991.4114216595,16638.2019511137,1353.20947054581
2025-10-04,19247.4203418806,17825.2867337086,1422.133608172
2025-10-05,43123.9566484569,42247.7022867037,876.254361753243
2025-10-06,43250.4238245155,41520.5664474906,1729.85737702484
2025-10-07,43499.4593446212,43093.4564688919,406.002875729369
2025-10-08,41204.7760213059,39775.4672149093,1429.30880639664
2025-10-09,40985.4837692421,39386.1265897769,1599.35717946518
2025-10-10,17403.9066363139,16252.8663060831,1151.04033023082
2025-10-11,17690.4853650837,16844.5768285069,845.908536576779
2025-10-12,42247.4243201113,41977.5774748431,269.846845268206
2025-10-13,41430.5861398551,41753.5404131554,-322.954273300275
2025-10-14,42719.4149912655,40600.0994955029,2119.31549576256
2025-10-15,42755.0428666581,42543.7797927194,211.263073938644
2025-10-16,45084.3863361418,43449.3993296196,1634.98700652214
2025-10-17,18259.8149199948,17650.5016922822,609.31322771253
2025-10-18,18472.7516974236,17117.3993731239,1355.3523242997
2025-10-19,44203.2586270687,43022.3903468887,1180.86828017997
2025-10-20,45858.8415716205,45373.403187244,485.438384376503
2025-10-21,46144.2436481514,46057.6048221858,86.6388259656087
2025-10-22,46826.1334508958,45757.4646710652,1068.66877983057
2025-10-23,45934.8812959631,45666.7133495981,268.167946364985
2025-10-24,18565.5852120879,17357.3944948333,1208.19071725463
2025-10-25,18482.0692035442,17641.3779736758,840.691229868346
2025-10-26,45232.6276255821,46010.9431510652,-778.315525483136
2025-10-27,46309.1540127774,45684.6645241535,624.489488623949
2025-10-28,45392.4133824811,45055.8109699726,336.602412508422
2025-10-29,50513.8327821816,46443.6404779959,4070.19230418568
2025-10-30,48455.0702351324,47599.9862001961,855.084034936357
2025-10-31,18915.2887679473,18577.4367343901,337.852033557203
2025-11-01,18768.6228552252,16897.3601656234,1871.2626896018
2025-11-02,49639.3218729114,46171.9056771681,3467.41619574335
2025-11-03,47794.0552381813,45954.7682436765,1839.28699450477
