name,seed,case_id,exploratory,target,lead_start_hour,lead_end_hour,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias,label,lead
causal_season,3407,causal_season_seed_3407,False,load,20,24,8016,1777472.29161077,671427965.104161,1000079.93562443,30697741.1341,221.740555340665,289.41488159844,5.79023806294431,124.760471011031,exp004 历史季节,20–24h
causal_season,3407,causal_season_seed_3407,False,pv,20,24,8016,592.818673504167,12486.2134158836,589.578873504167,1.621,0.0739544253373461,1.24806304098667,36571.1704814415,0.0735502586706794,exp004 历史季节,20–24h
oracle_season,42,oracle_season_seed_42,True,load,0,4,8016,1617989.03045274,533719284.575824,959411.752839862,27935677.3395,201.844938928735,258.034391269502,5.79183748004193,119.687094915152,exp004 全年探索,0–4h
oracle_season,42,oracle_season_seed_42,True,pv,0,4,8016,555.449584811403,6400.03670057111,552.321584811403,1.6239,0.069292612875674,0.893536665183547,34204.6668397933,0.0689023933147957,exp004 全年探索,0–4h
oracle_season,42,oracle_season_seed_42,True,load,4,8,8016,1533881.91672096,458134711.400435,913757.638323143,32783673.431,191.352534521078,239.065961310555,4.67879818272756,113.991721347698,exp004 全年探索,4–8h
oracle_season,42,oracle_season_seed_42,True,pv,4,8,8016,741269.571721972,263263915.794852,-337637.135583004,7868652.7278,92.4737489673119,181.224459896084,9.42053992423712,-42.1204011455844,exp004 全年探索,4–8h
oracle_season,42,oracle_season_seed_42,True,load,8,12,8016,1511794.7929103,449796584.776428,881322.207608564,46507328.0133,188.597154804179,236.880451705608,3.25065932078051,109.945385180709,exp004 全年探索,8–12h
oracle_season,42,oracle_season_seed_42,True,pv,8,12,8016,4506320.86147872,4327703567.47539,-2984548.07096234,50642302.9044,562.165776132575,734.767432304449,8.89833321755831,-372.323861147997,exp004 全年探索,8–12h
oracle_season,42,oracle_season_seed_42,True,load,12,16,8016,1625174.63104625,547128665.174546,923829.588033575,45186244.1546,202.741346188404,261.25576357053,3.59661366296761,115.248202099997,exp004 全年探索,12–16h
oracle_season,42,oracle_season_seed_42,True,pv,12,16,8016,4265849.13082941,3843325219.41351,-2860161.45716614,49192026.388,532.1668077382,692.428147137875,8.67183046533337,-356.806569007753,exp004 全年探索,12–16h
oracle_season,42,oracle_season_seed_42,True,load,16,20,8016,1697190.93737818,615687135.109017,951966.992637678,38937812.863,211.725416339594,277.141258808498,4.35872179916635,118.75835736498,exp004 全年探索,16–20h
oracle_season,42,oracle_season_seed_42,True,pv,16,20,8016,612196.013206716,198844261.489739,-290710.098703902,6710354.7006,76.3717581345704,157.498955058528,9.12315429692528,-36.2662298782313,exp004 全年探索,16–20h
oracle_season,42,oracle_season_seed_42,True,load,20,24,8016,1717425.78140163,622235406.736105,972655.208090764,30697741.1341,214.249723228746,278.611158224216,5.59463243207124,121.339222566213,exp004 全年探索,20–24h
oracle_season,42,oracle_season_seed_42,True,pv,20,24,8016,3171.77105041432,51221.7942503363,3169.57925041432,1.621,0.395680021259272,2.52783393293686,195667.554004585,0.395406593115559,exp004 全年探索,20–24h
oracle_season,2026,oracle_season_seed_2026,True,load,0,4,8016,1617228.88886768,531629223.693224,1007098.4944604,27935677.3395,201.750110886687,257.528660423988,5.7891164377854,125.636039728094,exp004 全年探索,0–4h
oracle_season,2026,oracle_season_seed_2026,True,pv,0,4,8016,4353.94507115531,84284.4552905159,4351.71707115531,1.6239,0.543156820253906,3.24261127112136,268116.575599194,0.54287887614213,exp004 全年探索,0–4h
oracle_season,2026,oracle_season_seed_2026,True,load,4,8,8016,1497850.53407959,436994857.396403,874279.061778994,32783673.431,186.857601556835,233.485174093576,4.56889169919327,109.066749223926,exp004 全年探索,4–8h
oracle_season,2026,oracle_season_seed_2026,True,pv,4,8,8016,773544.622745131,285887826.065698,-370539.141563557,7868652.7278,96.5000776877658,188.850864335569,9.83071244219729,-46.224942809825,exp004 全年探索,4–8h
oracle_season,2026,oracle_season_seed_2026,True,load,8,12,8016,1492753.37339989,437939493.433089,873246.851805203,46507328.0133,186.22172821855,233.737396106099,3.20971648376144,108.937980514621,exp004 全年探索,8–12h
oracle_season,2026,oracle_season_seed_2026,True,pv,8,12,8016,4298782.79711665,4002298380.17243,-2741469.8232868,50642302.9044,536.275299041499,706.603651336017,8.48852155327865,-341.999728453942,exp004 全年探索,8–12h
oracle_season,2026,oracle_season_seed_2026,True,load,12,16,8016,1621048.70403148,539283334.009052,956967.770019904,45186244.1546,202.226634734466,259.375914496873,3.58748272701142,119.38220683881,exp004 全年探索,12–16h
oracle_season,2026,oracle_season_seed_2026,True,pv,12,16,8016,4081026.2799119,3562651805.75291,-2619004.57582561,49192026.388,509.110064859269,666.665276235412,8.29611337358412,-326.722127722756,exp004 全年探索,12–16h
oracle_season,2026,oracle_season_seed_2026,True,load,16,20,8016,1726530.92402353,624982260.985951,1032753.96568683,38937812.863,215.385594314313,279.225444623862,4.43407268430358,128.836572565722,exp004 全年探索,16–20h
oracle_season,2026,oracle_season_seed_2026,True,pv,16,20,8016,617355.515618247,202437104.020767,-320508.344445904,6710354.7006,77.0154086350109,158.915479872508,9.20004296588148,-39.9835759039302,exp004 全年探索,16–20h
oracle_season,2026,oracle_season_seed_2026,True,load,20,24,8016,1753940.65813156,634991881.246211,1069428.11327192,30697741.1341,218.804972321802,281.452578683658,5.71358215078318,133.411690777436,exp004 全年探索,20–24h
oracle_season,2026,oracle_season_seed_2026,True,pv,20,24,8016,5409.15815084616,109468.561130342,5407.45375084616,1.621,0.674795178498773,3.69543740659217,333692.668158307,0.674582553748274,exp004 全年探索,20–24h
oracle_season,3407,oracle_season_seed_3407,True,load,0,4,8016,1602071.44695774,519739873.133405,970434.487763517,27935677.3395,199.859212444828,254.632693353832,5.73485807230623,121.062186597245,exp004 全年探索,0–4h
oracle_season,3407,oracle_season_seed_3407,True,pv,0,4,8016,7524.44821111261,236076.968217161,7521.92461111261,1.6239,0.938678669050974,5.42685171973301,463356.623629079,0.938363848691693,exp004 全年探索,0–4h
oracle_season,3407,oracle_season_seed_3407,True,load,4,8,8016,1524613.04888624,451071292.181929,918549.803116985,32783673.431,190.196238633513,237.215869589644,4.65052536621652,114.589546297029,exp004 全年探索,4–8h
oracle_season,3407,oracle_season_seed_3407,True,pv,4,8,8016,736118.94073901,253228095.694383,-321745.756044857,7868652.7278,91.8312051820122,177.736690920022,9.35508232735062,-40.1379436183703,exp004 全年探索,4–8h
oracle_season,3407,oracle_season_seed_3407,True,load,8,12,8016,1475094.94663912,434271781.076703,782709.875192851,46507328.0133,184.018830668552,232.756571103383,3.17174735606671,97.6434475040982,exp004 全年探索,8–12h
oracle_season,3407,oracle_season_seed_3407,True,pv,8,12,8016,4294425.86631391,3966507295.70376,-2826161.66131777,50642302.9044,535.731769749739,703.437107660736,8.47991821071153,-352.565077509702,exp004 全年探索,8–12h
oracle_season,3407,oracle_season_seed_3407,True,load,12,16,8016,1633484.49376804,546777281.60414,925176.53481208,45186244.1546,203.778005709586,261.171856682667,3.61500391176404,115.416234382744,exp004 全年探索,12–16h
oracle_season,3407,oracle_season_seed_3407,True,pv,12,16,8016,4163721.67250148,3689996348.55513,-2900169.56359369,49192026.388,519.426356349985,678.47541281744,8.46422068418223,-361.797600248715,exp004 全年探索,12–16h
oracle_season,3407,oracle_season_seed_3407,True,load,16,20,8016,1732729.7667648,623043732.373538,1010318.54561481,38937812.863,216.158903039521,278.792066805469,4.44999253774547,126.037742716419,exp004 全年探索,16–20h
oracle_season,3407,oracle_season_seed_3407,True,pv,16,20,8016,642452.406451668,191114706.284278,-254308.70852671,6710354.7006,80.1462582898788,154.407431736894,9.57404541363847,-31.7251382892603,exp004 全年探索,16–20h
oracle_season,3407,oracle_season_seed_3407,True,load,20,24,8016,1749101.75608862,628380027.004061,1056229.24619743,30697741.1341,218.201316877323,279.98343153059,5.69781909505277,131.765125523631,exp004 全年探索,20–24h
oracle_season,3407,oracle_season_seed_3407,True,pv,20,24,8016,4166.55089532241,112309.610717568,4164.02129532241,1.621,0.519779303308684,3.74308428702006,257035.835615201,0.519463734446409,exp004 全年探索,20–24h
