predictor_id,scenario,issue_hour,month,period,target,population,unit,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias
exp002_seed_42,2,0,0,annual,net_load,all,kW,48096,13515796.576567505,8164568388.897764,-752021.7593976159,144333055.96420002,281.01706122271094,412.01415441926235,9.364311235757334,-15.635848290868594
exp002_seed_42,2,0,0,annual,net_load,pv_generating,kW,26880,10051009.224804034,7121210704.854832,-688143.5469048847,65091408.59120001,373.9214741370549,514.7096205475304,15.441376123734514,-25.60057838187815
exp002_seed_2026,2,0,0,annual,load,all,kW,48096,7915892.191093946,2384191164.5923,-290496.46198925783,222048476.9355,164.58525014749554,222.64659496574365,3.56493874686352,-6.039929765245714
exp002_seed_2026,2,0,0,annual,load,pv_generating,kW,26880,4429856.73069414,1320800747.64154,-259212.67016601565,142806829.5625,164.80121765975224,221.6685195871307,3.1019922116227607,-9.643328503199987
exp002_seed_2026,2,0,0,annual,pv,all,kW,48096,8319033.144693514,5696825151.172285,735945.4423564749,114413339.9657,172.96725600244332,344.16124620490126,7.271034258057215,15.30159352870249
exp002_seed_2026,2,0,0,annual,pv,pv_generating,kW,26880,8281235.370132216,5695862757.735889,698147.6677951778,114413339.9657,308.0816729959902,460.3255979909978,7.237998097612437,25.972755498332507
exp002_seed_2026,2,0,0,annual,net_load,all,kW,48096,13593890.18957174,8252381541.692993,-1026441.9043457324,144333055.96420002,282.64076408790214,414.2239159522826,9.41841776906846,-21.341523293948196
exp002_seed_2026,2,0,0,annual,net_load,pv_generating,kW,26880,10106510.721958729,7188711053.054884,-957360.3379611934,65091408.59120001,375.9862619776313,517.1432752655104,15.526643132631596,-35.61608400153249
exp002_seed_3407,2,0,0,annual,load,all,kW,48096,7790688.340135352,2295264976.0009336,-618356.0132587891,222048476.9355,161.98204300015286,218.4549728959879,3.5085529284663224,-12.8567035358198
exp002_seed_3407,2,0,0,annual,load,pv_generating,kW,26880,4358863.427784765,1274107810.8369992,-461533.575439453,142806829.5625,162.1600977598499,217.7150526563613,3.0522793910756842,-17.170147895812985
exp002_seed_3407,2,0,0,annual,pv,all,kW,48096,8190709.854993741,5566604748.1919565,418006.14678756654,114413339.9657,170.2991902651726,340.20501664041416,7.1588766287648244,8.691079232941753
