predictor_id,scenario,issue_hour,month,period,target,population,unit,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias
exp002_seed_42,2,0,8,monthly,pv,pv_generating,kW,2668,925140.5410014165,663306489.3396442,-222145.38067983344,13016993.167100001,346.75432571267487,498.61370387256886,7.1071754369486575,-83.26288631178166
exp002_seed_42,2,0,8,monthly,net_load,all,kW,4464,1450324.7514906293,940185348.7438432,597629.3020151978,14763437.7052,324.89353752030223,458.928096196408,9.823760430673905,133.87753181344036
exp002_seed_42,2,0,8,monthly,net_load,pv_generating,kW,2668,1124235.9871098914,846173853.7832192,448817.25466850534,6987281.6394,421.37780626307773,563.1665977845961,16.089747703463544,168.222359321029
exp002_seed_42,2,0,9,monthly,load,all,kW,4320,843633.45459375,325194331.3313505,315772.3847898437,19595133.0698,195.28552189670137,274.3655692428639,4.30532138561466,73.09545944209344
exp002_seed_42,2,0,9,monthly,load,pv_generating,kW,2415,430075.33746953134,154218272.6919024,136102.20498906253,12617957.8663,178.08502586730077,252.70239019263215,3.408438528853985,56.35702069940478
exp002_seed_42,2,0,9,monthly,pv,all,kW,4320,772875.9229255429,514698941.4754747,57381.17581401936,11264829.8663,178.90646364017198,345.1713682936249,6.860964010097372,13.282679586578556
exp002_seed_42,2,0,9,monthly,pv,pv_generating,kW,2415,764225.4953630676,514480008.8284684,48730.74825154417,11264829.8663,316.4494804816015,461.5573640871209,6.784172547952399,20.178363665235683
exp002_seed_42,2,0,9,monthly,net_load,all,kW,4320,1390695.4857031978,892953590.5134585,258391.20897582432,12992757.2159,321.92025132018466,454.64515836668,10.70362096816003,59.81277985551489
exp002_seed_42,2,0,9,monthly,net_load,pv_generating,kW,2415,978765.2797512116,723557347.1076678,87371.45673751834,6015582.0124,405.2858301247253,547.3661183699691,16.270500140030833,36.178657034169085
exp002_seed_42,2,0,10,monthly,load,all,kW,4464,550912.3143601562,114791328.07855472,135461.07907890624,19405095.0093,123.41225680111026,160.3586706212166,2.8390085907650975,30.34522380799871
exp002_seed_42,2,0,10,monthly,load,pv_generating,kW,2321,276158.28204375,53376151.37908667,11452.450540625008,11964408.5436,118.98245671854804,151.64778033353818,2.3081649296527287,4.934274252746665
exp002_seed_42,2,0,10,monthly,pv,all,kW,4464,634466.95127811,384560226.84674716,-13040.014072208593,10554293.4631,142.12969338667338,293.5080990738442,6.011458308377895,-2.9211501057814946
exp002_seed_42,2,0,10,monthly,pv,pv_generating,kW,2321,631639.6839770016,384519183.04204947,-15867.281373317062,10554293.463100001,272.14118223912175,407.0253282724014,5.984670467855995,-6.836398695957373
exp002_seed_42,2,0,10,monthly,net_load,all,kW,4464,1016098.1622865926,514078027.7809437,148501.09315111488,13205688.988400001,227.6205560677851,339.35357448719543,7.694397188811146,33.266373913780214
exp002_seed_42,2,0,10,monthly,net_load,pv_generating,kW,2321,741826.0976538784,452868197.4639437,27319.731913942058,5765002.5227,319.6148632718132,441.7212999073916,12.867749749161414,11.770672948704032
exp002_seed_42,2,0,11,monthly,load,all,kW,4320,510083.5463246094,93331460.43805501,19850.952466015628,18738740.217699997,118.07489498254847,146.98470917422415,2.722080248718114,4.595127885651766
