name,date,day,channel,n,days,wape_pct,squared_error_sum_kw2,absolute_error_sum_kw,actual_absolute_sum_kw,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh
penalty_multiplier_2,2025-11-21,324,load,144,1,3.252614683106208,2159110.565592792,14051.134836421454,431995.06259999995,122.44926856528039,97.57732525292676,-4.6386590677929105,120.36607219411826,124.46375889114486,30.458666221104142,111.32781762702984,111.32781762702984,380.68722814596975,21.51715794721739,14972.306214224947,209.1498111094952
penalty_multiplier_2,2025-11-21,324,pv,144,1,2.8972382913976764,1726938.9773910325,7498.306444061224,258808.7582,109.51087520167906,52.07157252820295,-11.546462139940164,112.10555520765986,81.78426812535578,-18.5165108066702,277.1150913585639,277.1150913585639,215.8464966790589,133.3207879490716,11859.310999488654,174.32423128824828
penalty_multiplier_2,2025-11-21,324,net,144,1,5.346329038831599,3688059.180447077,17886.73032378465,334560.9706,160.0360024695632,124.21340502628229,6.9078030721472565,158.9732273304004,147.33209069017997,48.97517702777435,165.78727373153416,165.78727373153416,287.82241187358846,47.717743283567074,25563.804343154465,203.7000328048696
penalty_multiplier_2,2025-11-22,325,load,144,1,3.2988382634851674,2114303.399840081,14359.825173615016,435299.4608,121.1720367860896,99.72100815010428,25.04359804920794,119.86836525831482,106.41065244658698,47.24609840757028,601.0463531809905,601.0463531809905,308.10972864581964,627.1818032502918,14055.480695639159,120.88674081098081
penalty_multiplier_2,2025-11-22,325,pv,144,1,3.771912120389159,2927688.484672177,9579.920655647136,253980.4839,142.58741190036966,66.52722677532734,9.388361168747846,148.06177027825046,154.8086964346576,39.912204304922,225.3206680499483,225.3206680499483,312.0541848705665,88.14132543485242,20243.028707010828,102.63431168654868
penalty_multiplier_2,2025-11-22,325,net,144,1,6.440026368358014,5015138.134135973,21402.746286888112,332339.4201,186.62086741230746,148.63018254783412,15.655236880460102,188.76460386334963,165.8768167748363,7.333894102648287,375.72568513104244,375.72568513104244,321.79730121488075,245.08644178331812,34582.26171193872,367.5576822520839
penalty_multiplier_2,2025-11-23,326,load,144,1,1.7583888503339071,1775472.90462638,12426.466363607427,706696.1532000001,111.03906046429925,86.29490530282936,-2.16043000666078,112.16863587809102,118.40362309518005,12.086959009692565,51.85032015985871,51.85032015985871,72.33218743303158,4.667457813680297,12325.005490980626,252.19460059047242
penalty_multiplier_2,2025-11-23,326,pv,144,1,7.814557246913876,8881686.982653642,19950.84406086549,255303.5755,248.35132740531833,138.5475282004548,-11.79003812633798,256.95836495452954,216.1301373263549,75.5882233749687,282.9609150321115,282.9609150321115,513.9026307539727,139.00499902050316,61539.37682496311,165.0727514918979
penalty_multiplier_2,2025-11-23,326,net,144,1,5.998658973206188,11396306.252467915,28312.56946164247,471981.64770000003,281.3201301758164,196.6150657058505,9.629608119677211,288.2160300698381,229.98978638531474,-63.501264365276114,231.11059487225307,231.11059487225307,533.2308196453413,92.72935253855329,79048.28628959978,719.1306733496167
penalty_multiplier_2,2025-11-24,327,load,144,1,1.838245689305084,1811284.302893695,13012.09797430739,707854.1269,112.15330228994395,90.36179148824576,-12.710963415720622,113.76401918036107,115.82677254999139,-14.13014460991446,305.06312197729494,305.06312197729494,82.16136683816484,161.56859095578807,12416.79462358376,324.5333858384861
penalty_multiplier_2,2025-11-24,327,pv,144,1,6.336145808908599,7549067.8741546385,16656.616269444676,262882.4647,228.9630591589115,115.67094631558803,-68.00996782365628,241.37302293007536,238.76420781924293,-83.81889404631134,1632.239227767751,1632.239227767751,1333.1037181972092,4625.355723374762,47798.72673603244,663.1808423859433
penalty_multiplier_2,2025-11-24,327,net,144,1,5.586636384483629,9331304.469971605,26023.020684865765,465808.3844,254.55986621208365,180.71542142267893,55.299004407935655,263.7257838881857,264.8226185113662,69.68874943639683,1327.1761057904557,1327.1761057904557,1296.948996169573,3057.979888508887,61742.745597405024,408.5670628964028
penalty_multiplier_2,2025-11-25,328,load,144,1,1.8703552459182438,1911849.0408435334,13206.472778079045,706094.3533,115.22469114865231,91.71161651443782,12.829578449706535,118.65790402040716,102.48093995863734,29.93449714249909,307.9098827929568,307.9098827929568,294.9044264047523,164.59808319717433,13112.131367105141,152.31375398286082
penalty_multiplier_2,2025-11-25,328,pv,144,1,3.8894615201961025,2376626.137308386,9687.963732082093,249082.3905,128.46924992290056,67.27752591723676,30.510320785136148,134.76874884039984,171.5634894922367,59.40639350004671,732.2476988432676,732.2476988432676,595.106421109463,930.8796744119109,15573.468501340772,135.82015117433363
penalty_multiplier_2,2025-11-25,328,net,144,1,3.720163283683058,3765288.2788448045,17373.80163653104,467017.1794,161.7029228856287,120.65140025368777,-17.680742335429628,164.56254374196965,166.83569168667648,-29.471896357547646,424.337816050311,424.337816050311,322.81931151198864,312.60864953185353,25835.226620223737,468.5724981184765
penalty_multiplier_2,2025-11-26,329,load,144,1,2.1448186963647387,2419985.022858488,15144.964188851958,706118.6204,129.63584206394614,105.17336242258304,15.14001953164356,130.27450432643198,142.31054114378,3.3282457828354635,363.36046875944544,363.36046875944544,200.2634779167896,229.22019141854847,16576.231356209842,326.07115514041726
penalty_multiplier_2,2025-11-26,329,pv,144,1,3.4705255922096354,2030668.1605048915,8522.660593324988,245572.6191,118.75126199636117,59.18514300920131,30.073058390958188,119.24062532121626,98.99951781593434,-18.059669565884253,721.7534013829965,721.7534013829965,480.50897602459133,904.3888409859807,13197.47338474243,222.16079838784466
penalty_multiplier_2,2025-11-26,329,net,144,1,4.364569612126015,4665039.148456121,20298.879725877097,465083.19330000004,179.98918077932336,140.96444254081317,-14.933038859314621,179.23997845918558,172.44731913916021,21.38791534871973,358.3929326235509,358.3929326235509,445.116569167589,222.9956495738005,32173.109548038155,341.2008203374423
penalty_multiplier_2,2025-11-27,330,load,144,1,1.7747508801105794,1742087.155535071,12479.85030243971,703188.8499,109.99012441575628,86.66562710027577,-0.5977248670322316,114.10399441757092,130.3169362209362,-7.248595657666771,14.345396808773557,14.345396808773557,55.56462527140198,0.35727501666869893,12097.470193976878,330.8501702869532
penalty_multiplier_2,2025-11-27,330,pv,144,1,4.224669232316925,2853218.167670248,10498.45063112719,248503.49349999998,140.7622643085341,72.9059071606055,11.91580789967633,146.79917337744487,164.87314834710432,-54.94115514574599,285.97938959223194,285.97938959223194,278.40147923598045,141.98647790198885,19672.02857536362,437.21827468694113
penalty_multiplier_2,2025-11-27,330,net,144,1,4.251663841159354,4762631.6121806465,19791.814097901522,465507.50100000005,181.86211986046843,137.44315345764946,-12.513532766708563,188.9974802073868,211.67594433290603,47.692559488079205,300.3247864010055,300.3247864010055,268.44689851926773,156.58850230348887,32917.24213783989,319.3321680066318
penalty_multiplier_2,2025-11-28,331,load,144,1,3.451031081900134,2317614.4661636874,14957.946466489719,433434.12769999995,126.86427749336886,103.87462823951194,-25.2662816128325,124.70881150487575,105.16439886953088,-20.806544526654598,606.39075870798,606.39075870798,530.4566335703596,638.3849865389577,15456.159917375538,311.3913272214725
penalty_multiplier_2,2025-11-28,331,pv,144,1,3.383304185645099,1761565.4107490105,8387.43763579569,247906.69640000002,110.60331428217448,58.246094693025626,10.043390420442721,116.92299059529552,115.8958776889963,29.399533899104995,241.0413700906253,241.0413700906253,320.4735123811672,100.86969113744063,12132.22343906402,94.04480531598581
penalty_multiplier_2,2025-11-28,331,net,144,1,6.403261525073629,4878935.487601151,21017.61264397161,328232.9257,184.06927076966068,145.95564336091397,-35.30967203327522,187.1389050862552,174.20208614918832,-50.20607842575959,847.4321287986053,847.4321287986053,812.1474914976573,1246.7729390974582,32634.723502577206,571.2144976521184
penalty_multiplier_2,2025-11-29,332,load,144,1,3.5172023227923632,2564988.6035873904,15227.277230011805,432937.19930000004,133.46318165788557,105.74498076397087,23.929837555576768,128.76569587069983,105.44999377048246,21.145272343305084,574.3161013338424,574.3161013338424,397.7712193189714,572.6371254362923,17239.783732809472,187.2562934724916
penalty_multiplier_2,2025-11-29,332,pv,144,1,9.95820334097739,15229716.87909442,22242.69264396716,223360.4987,325.21058219481273,154.46314336088304,154.45097714309725,301.2739293104867,179.44948389334778,89.55518454892571,3706.8234514343344,3706.8234514343344,2462.3801243644853,23855.10434045755,81906.81843103148,0.0
penalty_multiplier_2,2025-11-29,332,net,144,1,10.608281110576852,16207830.97129658,32691.421785862796,308168.88659999997,335.49125434967027,227.02376240182497,-130.52113958752048,316.9143003025154,212.99198926723912,-68.40991220562061,3132.5073501004917,3132.5073501004917,2103.8923310539203,17035.767879225004,95518.61386589013,668.3138954576985
