name,factor,factor_value,weight,window,penalty_multiplier,gain,seconds,channel,n,days,wape_pct,squared_error_sum_kw2,absolute_error_sum_kw,actual_absolute_sum_kw,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh,rmse_kw_change_pct,mae_kw_change_pct,daily_energy_rmse_kwh_change_pct,cumulative_error_rmse_kwh_change_pct
weight_0.6,weight,0.6,0.6,28,1.0,0.5,0.6208262079162523,pv,48096,334,6.4430550702106935,4535189936.157414,7371714.501657431,114413339.9657,307.07415163237795,153.27084376366915,6.613432952267194,307.2487075386308,282.39422382660734,15.650060314075521,2888.163559735126,2060.9112104855367,1977.466580967096,14481.751298232422,79812.78330251221,129348.86957438725,0.007738704874227231,0.007498038232034432,-0.041797776972340994,-0.049302067156886675
weight_0.6,weight,0.6,0.6,28,1.0,0.5,0.6208262079162523,net,48096,334,8.089684891213953,6159284477.244861,11676089.421363268,144333055.96420002,357.85793550689556,242.76633028449908,-10.133035724968694,359.8949378359048,343.13108998387094,-16.524476097262443,3546.937787350543,2489.566048256346,2256.1169142097046,21841.610533568,106220.69147168941,255313.3709157356,0.1948965655968138,0.3081471093297372,0.11690054087591939,0.058466967862735864
weight_0.7,weight,0.7,0.7,28,1.0,0.5,0.6209518749965355,load,48096,334,3.018454422024289,1662590853.954218,6702432.071097183,222048476.9355,185.92518148749303,139.35529089939251,-3.451727333550278,188.31736944223098,193.75881195744057,-1.080876516806118,1985.2416640872489,1155.4041620879132,1143.2243462273973,6842.334140326231,27725.838970830995,145390.0860224508,1.6056853719122577,1.73917235553942,0.9246791789599085,1.041872578617986
weight_0.7,weight,0.7,0.7,28,1.0,0.5,0.6209518749965355,pv,48096,334,6.444950949133401,4537215256.003684,7373883.640054606,114413339.9657,307.14271038773074,153.3159439465778,6.898183695665687,307.3835592959696,282.64341819492165,15.832382622409023,2887.339522478467,2058.3137332859733,1976.7660688315173,14473.488746642679,79863.15579767876,129333.17289751915,0.030066882139578865,0.036925399255194336,-0.07031738157118328,-0.08470932892071792
weight_0.7,weight,0.7,0.7,28,1.0,0.5,0.6209518749965355,net,48096,334,8.123233203930868,6191983086.778091,11724510.726332018,144333055.96420002,358.80658203909957,243.773093944029,-10.349911029215967,360.848918012045,344.0790374393906,-16.91325913921514,3556.107123237236,2502.399793243695,2260.081901966899,21954.683805448978,106787.47950913207,256560.02812907007,0.46050347755994814,0.7241298246680294,0.3757168900850427,0.23431361571704112
window_14,window,14.0,0.5,14,1.0,0.5,0.3407919999444857,load,48096,334,2.953952279564679,1599592608.649406,6559206.046174853,222048476.9355,182.3686633027167,136.37737121953703,-1.9610699538892646,184.84352050340388,190.51757953781836,0.23653854270577504,2016.0608411418461,1122.5675590749493,1151.4844217428968,7056.42589441939,26201.90346040026,141262.05861133747,-0.3379054037470075,-0.43491864319057383,2.491448410666952,1.7719248211905292
window_14,window,14.0,0.5,14,1.0,0.5,0.3407919999444857,pv,48096,334,6.548103666858655,4608547870.27352,7491904.10966946,114413339.9657,309.54769328037526,155.7697960260616,4.811520386648028,310.15186780965865,287.05673228108975,17.9008338183343,2908.5966134297078,2051.1835507992528,1990.5764689234136,14687.385867456187,81132.3885477451,131612.59392431294,0.8133203713659443,1.638036223721473,0.6653821562251805,0.6133348965557728
window_14,window,14.0,0.5,14,1.0,0.5,0.3407919999444857,net,48096,334,8.096408950778416,6221276081.5490675,11685794.46201751,144333055.96420002,359.65430059119007,242.96811506190764,-6.772590340537292,362.1702299236921,346.66471773188925,-17.664295275628525,3586.81603246901,2476.5956072691934,2278.6248424309465,22335.502171487373,107015.71376225071,257765.01189173167,0.6978520570266378,0.3915221684370085,1.2425155190998627,1.0566904102099262
window_21,window,21.0,0.5,21,1.0,0.5,0.48465320898685604,load,48096,334,2.9634875979323634,1609892855.2879577,6580379.075381246,222048476.9355,182.95488379967745,136.81759554601726,-2.901285140137119,185.58434791521103,191.49010195460255,-0.27212747145006344,1988.6242702299269,1119.7376985556264,1137.8751816202825,6865.670986367201,26606.818519786284,142489.80731758618,-0.017543552295673503,-0.1135238950054629,1.0966423439056294,0.5690960755477592
window_21,window,21.0,0.5,21,1.0,0.5,0.48465320898685604,pv,48096,334,6.495523200891718,4591500702.388644,7431745.04238716,114413339.9657,308.97464938917955,154.51898374890135,5.1881331492062905,309.3461372904608,285.06951604922125,15.786556459125851,2918.305384432559,2058.79848615956,1997.9425292266285,14785.601244458447,80679.73272070798,131143.57641024006,0.6266917559892393,0.821895310794929,1.0013988932167095,0.9856511093342846
