name,month,channel,n,days,wape_pct,squared_error_sum_kw2,absolute_error_sum_kw,actual_absolute_sum_kw,rmse_kw,mae_kw,bias_kw,price_weighted_rmse_kw,high_price_rmse_kw,high_price_bias_kw,daily_energy_rmse_kwh,daily_energy_mae_kwh,cumulative_error_rmse_kwh,daily_level_mse_kw2,within_day_mse_kw2,high_price_underprediction_kwh
gain_0.6,9,load,4320,30,3.6486985456811363,210873487.51188108,714967.3353420759,19595133.0698,220.9373379363862,165.50169799585092,-19.752193338156662,226.05502970856756,236.39392215926753,-14.258739403045057,2995.630793651188,1964.6810118813053,1528.5886314200031,15579.520576165361,33233.786718251555,17022.431221062852
gain_0.6,9,pv,4320,30,6.102373783120047,399017655.5799686,687422.0244741683,11264829.8663,303.9164326766795,159.1254686282797,59.023911661027896,313.02453743234787,314.3736780220829,72.90543470536946,2550.7493101084747,2046.866928769158,1783.2610380400197,11295.697991352183,81069.50005956646,8586.206823947574
gain_0.6,9,net,4320,30,9.314775223631253,657020364.21212,1210246.130013215,12992757.2159,389.9846756878071,280.1495671326886,-78.77610499918455,401.86639602025974,412.13836064533024,-87.16417410841454,4565.9818099378435,3333.804494571918,2673.38899803607,36194.77411229734,115893.27315902672,35391.32837890756
gain_0.6,10,load,4464,31,2.3339509962898237,75692117.4788245,452905.40830054425,19405095.0093,130.2156653667489,101.45730472682443,-0.4595853595735568,136.90786833009358,154.03393297224576,0.12540398275282444,728.8288471477092,552.5440289618151,429.178444358597,922.2074451990605,16033.912061706073,10947.398457838035
gain_0.6,10,pv,4464,31,5.903772976203715,382937030.0042074,623101.525303733,10554293.4631,292.88800736386145,139.58367502323767,11.695481809171959,289.8317734758507,266.6583621154442,19.40620693711534,3223.4600160563855,2392.5246591510827,2205.7321957254508,18039.40013040666,67743.98472716668,10490.757860167469
gain_0.6,10,net,4464,31,7.027862006861083,453497704.95517635,928077.5991600014,13205688.988400001,318.7318428854737,207.9026879838713,-12.155067168745514,319.8303673318198,306.4287545187065,-19.280802954362517,3583.463609760994,2666.705617748844,2261.5936376597324,22293.769865418904,79296.2178037514,21659.595244593645
gain_0.6,11,load,4320,30,2.2192148949944186,62134355.58465591,415852.9140455079,18738740.217699997,119.92894847214042,96.26224862164534,-1.6700233411764405,119.87499759326866,116.82927415159936,-3.524171225541886,483.5263843419761,405.5876141711824,318.2070069897214,405.8988964493478,13977.053785183964,8779.382790791804
gain_0.6,11,pv,4320,30,4.962470190025457,158053686.0063339,397538.8107773544,8010905.7698,191.2759822621624,92.02287286512833,9.868484591762899,187.70754731950575,167.05982462140847,10.777702267373346,1306.4970287395608,957.5833846539049,923.0345258191601,2963.427927266147,33623.07346308892,6987.795170407695
gain_0.6,11,net,4320,30,5.43578587714702,221618023.65305167,690026.1433818047,12694137.6827,226.4960671583646,159.7282739309733,-11.538507932939341,223.34018351390876,205.6212404177935,-14.301873492915236,1405.468420301977,1129.5925101787898,984.3710496544078,3429.4122924759276,47871.05614573049,14906.866208060797
gain_0.6,12,load,4464,31,2.7152580616624142,122718553.64095767,568629.0587305895,20941989.5206,165.80324309663393,127.38106154359083,-4.020548577518894,163.9403315799756,157.2771813419851,-5.1566373620955535,1696.5061811823673,908.5035675335865,1266.774272113579,4996.759067343716,22493.956354017773,11547.922240077509
gain_0.6,12,pv,4464,31,5.019614145949586,112677102.30837345,339213.87361946795,6757767.9032,158.87506525381085,75.98877097210304,-14.647497302098254,157.63803713675966,135.48691865133787,-20.441986444839873,890.5406988151963,691.7494368511977,633.815097375812,1376.8450282053088,23864.441331197344,8140.7757023796485
gain_0.6,12,net,4464,31,5.066874507225083,239003270.49357992,746007.0071705768,14723218.5464,231.38746543568038,167.11626504717222,10.626948724579359,230.00920168786126,212.18971762625068,15.28534908274432,1920.3520617773133,1362.7915337019886,1427.6425712894993,6402.347293702046,47137.81186704614,12819.12725488666
gain_0.75,2,load,4032,28,2.800540808650902,104092524.0294919,510038.04287999414,18212126.7901,160.67544374172482,126.49753047618903,-4.4121743065227275,158.92920028394997,153.2580448020214,-13.895141443179664,1821.5524969107512,1123.920260239009,1132.7764175483835,5760.509546878113,20056.08867472206,11109.620791672054
