family,level,replicate_id,n_days,total_cost_yuan,cost_change_pct,emergency_cost_yuan,emergency_kwh,peak_emergency_kw,throughput_kwh,reversals,final_soc_kwh,balance_error_kwh,soc_error_kwh,simultaneous_slots,emergency_charge_slots,min_soc_kwh,max_soc_kwh,max_power_kw,physics_passed
correlated_noise,0.1,6,334,18090118.565655652,37.025778682233515,5455184.359751724,1039447.3513086846,6483.719217197956,10682849.991020132,2433,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.01,7,334,13251773.652798112,0.37715325662679433,616839.4468941838,114047.06307334006,5341.105279355643,11327190.802394064,2535,1243.2246883180405,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.02,7,334,13414867.16673945,1.6125246924039827,779932.960835522,144063.5704153459,5388.985857198758,11282088.085351063,2535,1846.2875213182942,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.05,7,334,14448000.527676763,9.438117584525397,1813066.3217728343,338526.50552188966,5644.255627720537,11068386.98010543,2513,2651.775573151212,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.1,7,334,17182083.8613677,30.14776060988269,4547149.65546377,864076.0949645325,7301.655701288871,10618417.07483302,2447,3598.717356439306,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.01,8,334,13196887.095256755,-0.038591574397695005,561952.8893528264,106514.3887124354,5280.369887171939,11347742.660307383,2531,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.02,8,334,13304026.67992848,0.7729500948319368,669092.474024551,127812.22405868628,5267.133382933631,11324572.327662146,2521,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.05,8,334,14315222.149983495,8.432371794106675,1680287.9440795667,318413.1486033014,5338.613326196628,11121265.62883826,2497,1600.7827859898325,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.1,8,334,16905944.466680523,28.05610955494229,4271010.260776594,819458.8318201985,6870.906759104053,10713540.358150538,2431,1905.4372622889834,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.01,9,334,13259245.0016042,0.43374588669968794,624310.7957002707,115808.01043778754,5258.092707929141,11335531.822044572,2535,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.02,9,334,13432330.06473519,1.7447995134467487,797395.8588312604,148269.37725604116,5222.7788655600325,11293681.701974992,2525,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.05,9,334,14414641.19794776,9.185433329535897,1779706.9920438305,336417.49829771795,5421.897953891799,11107775.119085886,2513,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.1,9,334,17102397.49404749,29.544166637141124,4467463.28814356,860194.0583566416,6199.67511405722,10666162.683483742,2437,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.01,10,334,13305632.422573106,0.7851129856081718,670698.2166691776,122772.05620499948,5307.259844214872,11327648.520323165,2535,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.02,10,334,13518454.552938713,2.397159807099092,883520.347034784,161250.83105729817,5320.915037622125,11281284.848859273,2525,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.05,10,334,14694403.443427213,11.304526103504298,2059469.2375232838,381070.9555567239,5358.780999850487,11056183.216571737,2509,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.1,10,334,17557457.333076224,32.99107211559973,4922523.127172295,932779.2935272361,6200.955028076774,10598517.173596982,2441,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.01,11,334,13217844.33565809,0.12015156344307165,582910.1297541615,108393.37404526243,5289.409500938876,11345094.978799764,2531,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.02,11,334,13331384.070546554,0.9801719402029452,696449.8646426257,131258.31598549828,5285.18354260241,11319590.064403158,2527,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.05,11,334,14398460.73626536,9.062872476580619,1763526.5303614307,332513.73258609703,5446.087730597164,11099463.932993513,2495,1201.3307065937447,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.1,11,334,17218796.488267805,30.425844817578728,4583862.282363877,873930.8201505884,6486.3859433998805,10622206.28233501,2431,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.01,12,334,13253175.071553964,0.387768471534522,618240.8656500354,115525.7896729785,5260.243353420932,11356988.530757032,2525,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.02,12,334,13448714.54529607,1.8689057319333902,813780.3393921405,153480.91205441972,5260.374250700642,11326141.986736726,2519,1440.685717759288,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.05,12,334,14696177.408784125,11.317963217446025,2061243.2028801963,390149.14452445344,5528.308665093788,11108388.584624883,2507,1862.9780795754375,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.1,12,334,17698244.132087905,34.05747865642692,5063309.926183976,979302.3728359549,6300.471326574099,10673330.158061229,2459,2482.3514640418316,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.01,13,334,13237453.162810978,0.26868098296666254,602518.9569070488,112581.00856147266,5206.61057489523,11346164.328190897,2527,1200.0,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.02,13,334,13416451.514195042,1.6245255227477884,781517.308291113,146213.56353491018,5296.389292573373,11306829.935624951,2523,1265.678205551575,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
correlated_noise,0.05,13,334,14626650.24526447,10.79132135568761,1991716.0393605419,372083.3777865975,5655.0608622375685,11059681.743255496,2503,1468.1381396609763,0.0,9.094947017729282e-13,0,0,1200.0,10800.0,5000.0,True
