scenario,variant,seed,known_price,corrected,update_schedule,planned_kwh,final_kwh,emergency_kwh,emergency_minutes,charge_kwh,discharge_kwh,surplus_kwh,planned_cost,up_cost,down_cost,emergency_cost,total_cost,violations,solve_execute_seconds,initial_soc,final_soc,days
4-2,gru_no_calendar,3407,False,True,0,19923308.28213109,19923308.28213109,688452.8127870535,42180,6466664.3426508885,5244095.459255553,1450002.716556142,12733001.682157824,0.0,0.0,4169446.8898283187,16902448.571986143,0,1.0747560852905735,7974.824120370375,1200.0,334
4-2,gru_no_calendar,42,False,True,0,19727811.797786646,19727811.797786646,791465.7163824772,47500,6451700.917415996,5231972.226887244,1360359.3286737017,12591426.230153592,0.0,0.0,4786566.622456488,17377992.85261008,0,1.0204927425365895,7974.824120370375,1203.175475607639,334
4-2,gru_no_calendar,mean,False,True,0,19806010.81219591,19806010.81219591,752165.3429219215,46080,6440976.9554648865,5223288.675634892,1401298.380321168,12645432.124868866,0.0,0.0,4573112.483169116,17218544.608037982,0,0.9787098338128999,7974.824120370375,1200.0,334
4-2,gru_one_day,2026,False,True,0,19919484.306485374,19919484.306485374,744135.567536851,44610,6332178.163757116,5135154.585180264,1527406.800478706,12722450.318571143,0.0,0.0,4473534.523261987,17195984.84183313,0,0.9650330413132906,7974.824120370375,1207.8546348144534,334
4-2,gru_one_day,3407,False,True,0,19903112.887572363,19903112.887572363,727256.4896895307,45830,6360789.568014617,5158260.9986825455,1488651.312963155,12708528.331538636,0.0,0.0,4387535.351991402,17096063.68353004,0,0.946586373145692,7974.824120370375,1284.3256862532553,334
4-2,gru_one_day,42,False,True,0,19773945.38795963,19773945.38795963,760625.7807995698,45880,6310746.011457609,5117801.610988997,1402437.2733239208,12646607.598901147,0.0,0.0,4610184.990704391,17256792.58960554,0,0.9634835007600486,7974.824120370375,1200.0,334
4-2,gru_one_day,mean,False,True,0,19868582.118740626,19868582.118740626,718803.3189516318,44440,6337343.621494256,5139332.538939292,1450184.8601706252,12691623.95216735,0.0,0.0,4356339.2379497895,17047963.19011714,0,0.9450226611224934,7974.824120370375,1214.5957548773874,334
4-2,mlp,2026,False,True,0,22569962.980198637,22569962.980198637,1369259.679968343,55100,5555160.1479688585,4505777.061563109,4950650.078794563,14309981.31890661,0.0,0.0,7827172.872033203,22137154.190939814,0,1.060837875586003,7974.824120370375,1200.0,334
4-2,mlp,3407,False,True,0,21720117.184764657,21720117.184764657,2182298.767909265,80220,5863300.1401873855,4755370.455260116,4855296.772779985,13630749.455094814,0.0,0.0,11525663.523935089,25156412.979029905,0,1.0155282014748082,7974.824120370375,1200.0,334
4-2,mlp,42,False,True,0,10040239.042799879,10040239.042799879,10194673.667767232,219770,4647946.017500876,3770933.6158840437,1418710.8139836106,6105747.76644953,0.0,0.0,45089641.79802367,51195389.564473204,0,1.006148293032311,7974.824120370375,1200.0,334
4-2,mlp,mean,False,True,0,17627213.19925218,17627213.19925218,3535960.8666234696,127470,5971629.246447831,4843117.031331076,2095472.3557922312,10819442.856367106,0.0,0.0,18337893.193255115,29157336.049622223,0,0.9690600760513917,7974.824120370375,1200.0,334
4-2,selected,mean,False,True,0,19849856.280287914,19849856.280287914,724372.4608915267,46480,6388239.814680424,5180571.5915994765,1427371.0231318255,12679135.247747937,0.0,0.0,4333029.161894392,17012164.409642328,0,0.9568388732150197,7974.824120370375,1200.0,334
4-2,selected,mean,True,True,0,19902233.41633403,19902233.41633403,750341.3834477966,46680,6679692.158277075,5417015.750527098,1450708.897065183,12550403.371963304,0.0,0.0,4484271.062296664,17034674.434259966,0,0.9963107941439375,8383.447025185187,1200.0,334
4-2,tcn,2026,False,True,0,19862959.27132062,19862959.27132062,747108.4667229342,46160,6462387.105505229,5240630.897167569,1449122.0347392263,12675532.124074435,0.0,0.0,4474821.426963456,17150353.551037893,0,0.9584337081760168,7974.824120370375,1200.0,334
