date,repeat,grid_kwh,off_grid_check,risk_seconds,planning_seconds,grid_states,max_actions_per_state,objective_surrogate_yuan,terminal_value_yuan_per_soc_kwh,exact_for_discrete_surrogate_only,projected_seconds,greedy_seconds,full_day_seconds,greedy_simultaneous_slots,total_cost,planned_cost,emergency_cost,simultaneous_slots,throughput_kwh,direction_reversals,equivalent_full_cycles,initial_soc,final_soc,final_mode,max_balance_error,max_state_error
2025-02-15,1,25.0,False,0.003521875012665987,0.13817437493707985,385,67,18749.530301247734,0.39138456507350644,True,0.0003923330223187804,0.0003236670745536685,0.14208858297206461,0,19479.545676317543,17694.295197430605,1785.2504788869355,0,26930.12098224792,5,1.129695359108184,6000.0,1822.0360534340643,-1,0.0,9.094947017729282e-13
2025-03-20,1,100.0,False,0.006659124977886677,0.012665957910940051,97,16,42667.76691842036,0.39138456507350644,True,0.0003481250023469329,0.00029379199258983135,0.01967320789117366,0,43184.774493284654,40788.68967449758,2396.084818787075,0,32574.93496376241,9,1.365118275472829,6000.0,1572.001088452466,-1,0.0,9.094947017729282e-13
2025-03-20,1,50.0,False,0.006659124977886677,0.03594066691584885,193,33,42394.94281132974,0.39138456507350644,True,0.00046791695058345795,0.00032504100818187,0.043067708844318986,0,42795.904420039995,40469.80285058192,2326.101569458076,0,33498.440867752375,9,1.4035950104416648,6000.0,1548.9024779896192,-1,0.0,7.176481631177012e-13
2025-03-20,1,25.0,False,0.006659124977886677,0.12964912503957748,385,67,42265.55254608564,0.39138456507350644,True,0.0003653749590739608,0.00029541703406721354,0.13667362497653812,0,42652.229990419735,40244.45253650399,2407.7774539157444,0,33610.84430873393,9,1.4082813352956443,6000.0,1544.643686627151,-1,0.0,9.094947017729282e-13
2025-06-21,1,100.0,False,0.005869291024282575,0.012276249937713146,97,16,24636.915249199603,0.39138456507350644,True,0.0003674579784274101,0.000302292057313025,0.01851299894042313,0,22264.650545166045,22128.125271149802,136.5252740162439,0,23591.520389920162,6,0.9882050608656485,6000.0,2996.1196359723453,-1,0.0,7.958078640513122e-13
2025-06-21,1,50.0,False,0.005869291024282575,0.03566791699267924,193,33,24446.672234228507,0.39138456507350644,True,0.0003388329641893506,0.00027479196432977915,0.041876040981151164,0,22237.158858727456,22117.90576513647,119.25309359098262,0,23156.67395271727,6,0.9703290724497798,6000.0,2896.9393097853163,-1,0.0,9.094947017729282e-13
2025-06-21,1,25.0,False,0.005869291024282575,0.1285575000802055,385,67,24369.4199309082,0.39138456507350644,True,0.0003528749803081155,0.0002941249404102564,0.1347796660847962,0,22243.135350692988,22163.845342151377,79.2900085416064,0,22866.11323940116,6,0.9582391559676513,6000.0,2896.939309783206,-1,0.0,8.029132914089132e-13
2025-08-01,1,100.0,False,0.006106625078245997,0.012378209037706256,97,16,28052.44924300803,0.39138456507350644,True,0.0003481670282781124,0.0002945420565083623,0.018833001144230366,0,26453.875202231822,26413.24756205212,40.62764017969549,0,19966.830342421254,6,0.8383160171192867,6000.0,2571.865410870559,-1,0.0,9.094947017729282e-13
2025-08-01,1,50.0,False,0.006106625078245997,0.03473154199309647,193,33,27998.69619535608,0.39138456507350644,True,0.00036087504122406244,0.0002888330491259694,0.04119904211256653,0,26403.605621520437,26362.977981340744,40.62764017969549,0,20208.267361232087,6,0.8486141115826195,6000.0,2456.879681129684,-1,0.0,6.821210263296962e-13
2025-08-01,1,25.0,False,0.006106625078245997,0.12674824998248369,385,67,27976.174203656505,0.39138456507350644,True,0.0003530000103637576,0.00028658402152359486,0.13320787507109344,0,26487.56483202938,26446.937191849687,40.62764017969549,0,19844.187651633118,6,0.8334651493170313,6000.0,2456.8796811254674,-1,0.0,6.821210263296962e-13
