window,beta,success,nodes,overlap_nodes,max_overlap_kwh,expected_overlap_kwh,current_overlap_kwh,expected_throughput_kwh,wall_seconds
2025-03-22-017,0.0,True,416,1,168.6814665103418,63.25554994137818,0.0,23114.272655315737,0.05187812494114041
2025-03-22-017,0.001,True,416,0,0.0,0.0,0.0,22978.267248644162,0.052532624918967485
2025-03-22-017,0.01,True,416,0,0.0,0.0,0.0,22978.26724864416,0.050971042015589774
2025-03-22-017,0.1,True,416,0,0.0,0.0,0.0,22968.343095851586,0.04241183307021856
2025-03-22-017,1.0,True,416,0,0.0,0.0,0.0,22888.785741115447,0.040283250040374696
original-lp-overlap,0.0,True,63,1,566.5937811694077,566.5937811694072,0.0,11620.078652724496,0.007308125030249357
original-lp-overlap,0.001,True,63,0,0.0,-6.442254137558241e-13,0.0,10423.936225811303,0.0069549999898299575
original-lp-overlap,0.01,True,63,0,0.0,-6.442254137558241e-13,0.0,10423.936225811312,0.006152665941044688
original-lp-overlap,0.1,True,63,0,0.0,0.0,0.0,10423.936225811303,0.006454625050537288
original-lp-overlap,1.0,True,63,0,0.0,0.0,0.0,10423.936194456619,0.005715375067666173
strict-control-timeout,0.0,True,460,0,0.0,-1.4684549872375402e-13,0.0,36429.662627515165,0.06910254096146673
strict-control-timeout,0.001,True,460,0,0.0,-9.947598300641403e-14,0.0,36429.87217331048,0.05807475000619888
strict-control-timeout,0.01,True,460,0,0.0,-2.5105843330190203e-13,0.0,36411.06501729472,0.052216958021745086
strict-control-timeout,0.1,True,460,0,0.0,0.0,0.0,34572.33832734397,0.04499616695102304
strict-control-timeout,1.0,True,460,0,0.0,0.0,0.0,33097.98636305738,0.03851862496230751
