date,total_cost_current,total_cost_baseline,difference_yuan,relative_change_pct
2025-10-23,53491.5152773049,45666.7133495981,7824.80192770682,17.134585245504
2025-08-11,56700.0806680136,48893.7906535665,7806.29001444702,15.9658106072363
2025-08-29,31900.5459953204,24095.5371836962,7805.00881162417,32.3919269868168
2025-12-22,68385.3182328625,60632.0419128124,7753.27632005007,12.7874240672929
2025-08-04,53774.1522579659,46056.4572092658,7717.69504870009,16.7570315138078
2025-12-11,66212.705664161,58575.1080379071,7637.5976262539,13.038981714402
2025-12-30,66587.6006486345,59054.3986493684,7533.20199926609,12.7563774613877
2025-08-05,54574.1527660435,47067.5892192953,7506.56354674818,15.9484767995529
2025-06-05,76189.2001377771,68727.8094898143,7461.39064796273,10.8564359949062
2025-05-06,52713.8337751217,45268.0644449709,7445.76933015084,16.4481725062536
2025-08-13,56707.8701328626,49294.9273385109,7412.94279435173,15.0379424305602
2025-06-21,26614.7309647533,19325.9803316646,7288.75063308868,37.7147782829234
2025-08-16,30401.1514794812,23220.0849805432,7181.06649893797,30.9260991290737
2025-12-21,67497.6923193165,60391.5653471928,7106.12697212375,11.7667540678411
2025-12-29,66543.7120870206,59446.697595246,7097.01449177457,11.9384503746464
2025-09-06,29573.7950227142,22502.5838973017,7071.21112541247,31.4239962738696
2025-08-23,30674.0533250847,23664.5556676567,7009.49765742805,29.6202377761448
2025-05-31,21150.1418522882,14161.0006741397,6989.14117814851,49.3548537915955
2025-10-28,52043.3716881455,45055.8109699726,6987.56071817286,15.5086781654639
2025-10-21,52832.2798572085,46057.6048221858,6774.67503502273,14.7091344875133
2025-10-12,48738.0617078659,41977.5774748431,6760.48423302285,16.1049889957904
2025-11-29,31843.4641528934,25194.6994060122,6648.76474688124,26.3895378934136
2025-09-05,29271.1235403289,22957.8110890593,6313.31245126961,27.4996271498996
2025-06-24,69423.5752166354,63279.5166412936,6144.0585753418,9.70939555396737
2025-10-06,47586.8275569871,41520.5664474906,6066.26110949645,14.6102561417803
2025-10-13,47745.0281255207,41753.5404131554,5991.48771236528,14.3496519171283
2025-08-26,56961.290411476,51107.4921806437,5853.79823083228,11.4538944899537
2025-05-29,42187.2711341296,36422.3114448917,5764.95968923788,15.8280994822651
2025-10-07,48664.7063530473,43093.4564688919,5571.2498841554,12.9282966386722
2025-12-04,75441.7931198494,70103.3649982464,5338.42812160299,7.61508113303339
2025-10-26,51036.1746066617,46010.9431510652,5025.23145559651,10.9218179664291
2025-05-24,18664.8260494923,13894.9724910495,4769.85355844282,34.3279093320648
2025-08-10,52246.9796777083,47795.9035295687,4451.07614813966,9.31267288500159
2025-05-04,49710.7716577554,45433.5558684248,4277.2157893306,9.41422195021975
2025-05-26,45849.7462182325,41686.2992094563,4163.44700877618,9.98756686904872
2025-12-05,35969.4083083239,32177.9946994527,3791.41360887119,11.782628607791
2025-06-07,39367.8004474726,35603.2170124899,3764.58343498265,10.5737170707411
2025-08-31,51271.2978643372,47620.5069291406,3650.79093519656,7.66642602236247
2025-10-05,45801.4929751765,42247.7022867037,3553.79068847279,8.41179637263077
2025-09-03,48811.8975918241,45395.7487611444,3416.14883067973,7.5252615584209
2025-06-04,67975.8743881924,65082.7134242848,2893.16096390755,4.44536008363167
2025-10-01,49334.9725048911,46655.4119789506,2679.56052594051,5.74330053531503
2025-04-28,49281.5292441347,47039.487391811,2242.04185232379,4.76629737405281
2025-05-07,52795.0403295152,50585.3425554352,2209.69777407996,4.36825701369603
2025-07-07,69157.3545605134,66990.4597759819,2166.89478453143,3.23463190397198
2025-07-04,51207.5185411757,49226.8325809981,1980.6859601776,4.02359009574416
2025-09-01,49570.4017220192,48259.2903815428,1311.11134047636,2.71680609082849
2025-09-02,46883.1852179415,45975.9244788458,907.260739095647,1.97333876236266
2025-09-04,47552.3680170465,46790.7563819156,761.61163513083,1.62769678035209
2025-09-07,45579.8268251003,44948.8751245702,630.951700530088,1.40370965631839
2025-05-01,49233.0414810089,48654.2755788362,578.765902172694,1.18954787690734
