scenario,model,target,horizon,population,granularity,group,unit,n,mae,rmse,wape_pct,bias
3,updated_issued,pv,remaining_day,all,monthly,5,kW,11160,156.60819267249468,285.9435228829397,5.610784456636321,-5.407578030932425
3,updated_issued,pv,remaining_day,pv_generating,monthly,5,kW,6821,252.93880834963693,365.07526739551025,5.5387075009341835,-12.139039627235473
3,updated_issued,net_load,remaining_day,all,monthly,5,kW,11160,250.09259788269924,342.20589938788964,8.71985970128537,-4.573647622878579
3,updated_issued,load,remaining_day,all,monthly,6,kW,10800,188.29895906298563,243.25028096065742,3.7974131728353533,8.752554675869579
3,updated_issued,pv,remaining_day,all,monthly,6,kW,10800,155.78173729516095,294.5151084806052,6.6243932480904535,8.95123948516115
3,updated_issued,pv,remaining_day,pv_generating,monthly,6,kW,6869,244.31542159213546,369.23519381527103,6.607698296225874,13.4565809533237
3,updated_issued,net_load,remaining_day,all,monthly,6,kW,10800,281.15656111867537,380.2436322235132,9.1869478238561,-0.19868480929157192
3,updated_issued,load,remaining_day,all,monthly,7,kW,11160,225.22001990570075,290.24077486169296,4.086290831114391,24.442709747175236
3,updated_issued,pv,remaining_day,all,monthly,7,kW,11160,163.91972058120044,308.7852442035991,6.047870946801815,8.776798036076388
3,updated_issued,pv,remaining_day,pv_generating,monthly,7,kW,6915,262.6006562466867,391.98236891475193,6.003369952029727,12.218152182538606
3,updated_issued,net_load,remaining_day,all,monthly,7,kW,11160,319.10079629596584,434.42954729002923,9.277573255565914,15.665911711098843
3,updated_issued,load,remaining_day,all,monthly,8,kW,11160,166.8460493845082,209.36177057487086,3.1988713502557955,7.281157179310751
3,updated_issued,pv,remaining_day,all,monthly,8,kW,11160,176.4920950557598,350.2844689062629,6.078395331557593,-10.20113164275349
3,updated_issued,pv,remaining_day,pv_generating,monthly,8,kW,6628,288.8479804284577,452.4438407366309,5.90814743976728,-25.499697597403603
3,updated_issued,net_load,remaining_day,all,monthly,8,kW,11160,280.61320979868066,413.76430991528,8.083056269811525,17.482288822064245
3,updated_issued,load,remaining_day,all,monthly,9,kW,10800,185.40246455945208,243.46471188352484,3.994419128719468,-18.657066584867753
3,updated_issued,pv,remaining_day,all,monthly,9,kW,10800,156.00120422368516,312.11887679803135,6.015956217631167,14.231696235071224
3,updated_issued,pv,remaining_day,pv_generating,monthly,9,kW,5998,276.8148534619598,418.2082246671224,5.928554437514202,21.544649014305488
3,updated_issued,net_load,remaining_day,all,monthly,9,kW,10800,286.23581822992577,399.6258075981313,9.152421476411915,-32.88876281993898
3,updated_issued,load,remaining_day,all,monthly,10,kW,11160,118.98454020705974,152.86062265764102,2.712336223677032,-0.6181913845217404
3,updated_issued,pv,remaining_day,all,monthly,10,kW,11160,165.11523566244423,340.4803981841341,7.022026398509916,1.6741928207863594
3,updated_issued,pv,remaining_day,pv_generating,monthly,10,kW,5792,308.86612352784783,470.0558679008748,6.817261373045003,-6.05135542810903
