scenario,issue_hour,target,n,unit,mae,rmse,bias_predicted_minus_actual,absolute_error_sum,squared_error_sum,month
3,12,net_load,2160,kW,280.24751553482434,358.81063168720345,-36.98633248906955,605334.6335552206,278089349.92942315,6
3,12,net_load,2232,kW,300.0358632177807,375.80954818295436,15.19244455767481,669680.0467020865,315231646.4402231,7
3,12,net_load,2232,kW,229.05244237799602,290.4634129562026,46.607478415339315,511245.0513876871,188311595.20208138,8
3,12,net_load,2160,kW,313.2362944430536,415.63275167447,209.3861906467609,676590.3959969959,373141262.01130193,9
3,12,net_load,2232,kW,213.31442631784176,277.8654798303478,117.29610704320717,476117.7995414228,172330989.93517187,10
3,12,net_load,2160,kW,150.76334360090237,188.77192568197134,48.130647552803644,325648.8221779491,76971254.23946819,11
3,12,net_load,2232,kW,162.59903533985187,203.2864851919804,65.0180247035575,362921.0468785494,92238281.77773508,12
3,18,load,1008,kW,140.351419141158,179.65993565698813,88.49379671500971,141474.23049428727,32535914.020115297,2
3,18,load,1116,kW,126.9289132126411,160.5702622548549,60.764387573861434,141652.66714530747,28773614.978581652,3
3,18,load,1080,kW,134.90905980532423,167.91281511968754,63.11172839970901,145701.78458975017,30450290.559931837,4
3,18,load,1116,kW,198.31796604888083,247.09221480221876,-8.774514475420746,221322.85011055102,68136891.87930626,5
3,18,load,1080,kW,204.31729398443218,261.1034966061342,2.472405786906388,220662.67750318677,73629038.81514548,6
3,18,load,1116,kW,226.60718949886603,283.80415797837367,40.42443259847799,252893.6234807345,89887996.89576805,7
3,18,load,1116,kW,192.3334898856045,241.70641001867511,45.51583159812076,214644.17471233464,65198939.32683333,8
3,18,load,1080,kW,274.1461896619813,350.6192377536737,181.3811252120003,296077.8848349398,132768557.87360455,9
3,18,load,1116,kW,189.80459676499845,248.24655591057294,153.9267201465005,211821.92998973827,68775009.41395071,10
3,18,load,1080,kW,133.48766569863355,166.53591760658023,67.37986523375335,144166.67895452422,29952948.801310927,11
3,18,load,1116,kW,138.29613531001644,171.60464937101773,78.2676055448053,154338.48700597836,32864141.74529693,12
3,18,pv,1008,kW,0.012000992063492063,0.10384285708826568,-0.012000992063492063,12.097,10.869605680000001,2
3,18,pv,1116,kW,2.069405913978495,11.814434360327024,1.9258686379928316,2309.4570000000003,155772.238927995,3
3,18,pv,1080,kW,32.08911648148148,89.5788153802356,32.07455444444445,34656.245800000004,8666313.29812044,4
3,18,pv,1116,kW,35.572593458781355,92.99149765027407,35.45143933691756,39699.014299999995,9650519.196928874,5
3,18,pv,1080,kW,23.060884537037033,58.66157413681829,22.837292499999997,24905.755299999997,3716474.7026261827,6
3,18,pv,1116,kW,29.66507284946237,76.61288068111797,29.505317831541216,33106.221300000005,6550399.370665289,7
3,18,pv,1116,kW,40.11808799283153,107.43482785507071,40.0519858422939,44771.786199999995,12881142.335653525,8
3,18,pv,1080,kW,10.070594814814815,39.59191070515649,9.991416666666666,10876.2424,1692920.9447478915,9
3,18,pv,1116,kW,0.04808844086021506,0.3876400397086254,-0.04808844086021506,53.666700000000006,167.69551723,10
3,18,pv,1080,kW,0.004387314814814815,0.03120240271493824,-0.004387314814814815,4.738300000000001,1.05147713,11
3,18,pv,1116,kW,0.0009060035842293906,0.005174206257414294,-0.0009060035842293906,1.0110999999999999,0.029878009999999997,12
3,18,net_load,1008,kW,140.355760609412,179.66569946738858,88.50579770707319,141478.60669428727,32538001.673626836,2
3,18,net_load,1116,kW,126.66235158207483,160.30359159810487,58.838518935868606,141355.18436559552,28678121.490845237,3
3,18,net_load,1080,kW,144.04703875857726,181.80250307314643,31.03717395526457,155570.80185926345,35696322.133554325,4
3,18,net_load,1116,kW,211.45318161034444,266.2083686754506,-44.225953812338304,235981.7506771444,79087455.4369746,5
3,18,net_load,1080,kW,208.37676539709878,265.3435668584191,-20.364886713093615,225046.90662886668,76039785.15100017,6
3,18,net_load,1116,kW,232.03854412328684,289.42177931486634,10.919114766936781,258955.01524158812,93481702.43743005,7
3,18,net_load,1116,kW,206.05913496922815,260.4066167701213,5.463845755826864,229961.9946256586,75677752.36034948,8
3,18,net_load,1080,kW,269.49047797968666,346.0935993731552,171.38970854533366,291049.71621806157,129363241.88923132,9
3,18,net_load,1116,kW,189.8346065320235,248.27212690101513,153.97480858736068,211855.42088973825,68789178.6794844,10
3,18,net_load,1080,kW,133.48941819863353,166.53857595029987,67.38425254856816,144168.57165452422,29953905.061918102,11
3,18,net_load,1116,kW,138.29650708420996,171.6050117169911,78.26851154838954,154338.90190597833,32864280.531769734,12
4-2,0,load,4032,kW,194.8705883349267,240.8236201152557,164.51533334569413,785718.2121664245,233839936.53384128,2
4-2,0,load,4464,kW,163.94214219883804,209.85868705527454,114.77903150677628,731837.722775613,196597544.32936418,3
4-2,0,load,4320,kW,142.35822178253517,177.22978205912975,86.67229808610256,614987.5181005519,135692909.20249906,4
4-2,0,load,4464,kW,166.31954457885635,210.4923887494169,55.30810585411176,742450.4470000147,197786652.10048878,5
4-2,0,load,4320,kW,209.58505116763405,270.91164504861547,34.870512372361034,905407.4210441791,317058275.9071311,6
4-2,0,load,4464,kW,290.5917430007221,359.9921587815121,24.336664839332848,1297201.5407552235,578509197.9709501,7
4-2,0,load,4464,kW,203.9809989833409,254.99046749043902,113.35907670028328,910571.1794616338,290249898.31307113,8
4-2,0,load,4320,kW,287.4667851113561,396.6724765362663,243.81926637252855,1241856.5116810584,679747911.7309116,9
4-2,0,load,4464,kW,196.4208185194376,248.28941482906143,173.55614727109682,876822.5338707694,275195036.0161282,10
4-2,0,load,4320,kW,135.32872939417726,168.8280500460455,72.32713195895931,584620.1109828458,123132573.28375219,11
4-2,0,load,4464,kW,158.88301182673814,201.58109543146728,36.44461217794188,709253.7647945591,181394363.38980383,12
4-2,0,pv,4032,kW,159.9420752645173,331.7027492632831,-114.08278713979128,644886.4474665339,443627710.3190842,2
4-2,0,pv,4464,kW,213.5031527703486,423.61374079368943,-125.05124454081954,953078.0739668362,801058556.6014919,3
4-2,0,pv,4320,kW,262.2033020383912,498.81477373000337,-178.34759075890733,1132718.26480585,1074885891.0824785,4
4-2,0,pv,4464,kW,253.10239021517876,475.14777161928856,-152.67608957370533,1129849.069920558,1007816767.3609984,5
4-2,0,pv,4320,kW,240.22986538143385,460.8761592169307,-101.2868826831081,1037793.0184477943,917597523.4612545,6
4-2,0,pv,4464,kW,273.29601677310853,508.02939752934407,-194.08094412731538,1219993.4188751564,1152131030.1179824,7
4-2,0,pv,4464,kW,277.3970574941797,502.98002796730657,-207.7223060261635,1238300.4646540182,1129342487.6957424,8
4-2,0,pv,4320,kW,242.36813268843872,469.8267046001559,-161.8972011716357,1047030.3332140553,953584411.77551,9
4-2,0,pv,4464,kW,197.8851536920375,409.0689701168143,-160.99404385596299,883359.3260812555,746994253.2026924,10
4-2,0,pv,4320,kW,114.19034086665647,231.70924233091134,-44.1403298386924,493302.27254395594,231937227.28036076,11
4-2,0,pv,4464,kW,97.72207309234548,204.94301975825024,-47.36470295334679,436231.33428423025,187495326.97582275,12
4-2,0,price,4032,yuan/kWh,0.0464106581115275,0.06339795035477248,0.004873345528333818,187.1277735056789,16.205818040238746,2
4-2,0,price,4464,yuan/kWh,0.04145477764004686,0.05413100755201645,-0.00041397170179933665,185.05412738516918,13.080260928454603,3
4-2,0,price,4320,yuan/kWh,0.04267578636241524,0.055225835423907535,-0.0005321471139821662,184.35939708563382,13.175537320520007,4
4-2,0,price,4464,yuan/kWh,0.04471352993511646,0.057846710063054564,-0.0009096215659329781,199.60119763035988,14.937623685891653,5
4-2,0,price,4320,yuan/kWh,0.05041402777312753,0.06742664304339246,-0.003596526066396091,217.7885999799109,19.640241469876607,6
4-2,0,price,4464,yuan/kWh,0.0535657860695534,0.07206858942716747,-0.002380547048667624,239.11766901448638,23.18548738214458,7
4-2,0,price,4464,yuan/kWh,0.04714063708459068,0.06046679849274909,0.001286567180612155,210.4358039456128,16.321427325913596,8
4-2,0,price,4320,yuan/kWh,0.056312071420011545,0.07707147119231286,0.0016472779554903758,243.26814853444986,25.66085042194925,9
4-2,0,price,4464,yuan/kWh,0.04080549216441237,0.05317279875823065,0.0003175995627478829,182.15571702193682,12.62127490002463,10
4-2,0,price,4320,yuan/kWh,0.0388209218369106,0.04984024859607941,-0.0006512630484953785,167.70638233545378,10.73109764211406,11
4-2,0,price,4464,yuan/kWh,0.04728854100774295,0.06525754678415746,0.0009574216369546548,211.09604705856452,19.010155648446933,12
4-2,0,net_load,4032,kW,322.95567742549355,453.9291750437113,278.5981204854854,1302157.29137959,830800438.0940449,2
4-2,0,net_load,4464,kW,336.14031699502243,503.18209235661186,239.83027604759582,1500530.3750657802,1130250061.4572387,3
4-2,0,net_load,4320,kW,362.6902860029488,558.1550011301979,265.0198888450099,1566822.035532739,1345839862.8383331,4
4-2,0,net_load,4464,kW,370.91919751776544,543.3008961152798,207.98419542781707,1655783.297719305,1317665055.6445894,5
4-2,0,net_load,4320,kW,385.5721635339131,551.412844044674,136.15739505546915,1665671.7464665046,1313522458.1745234,6
4-2,0,net_load,4464,kW,457.1973891840589,615.5267990852632,218.41760896664826,2040929.145317639,1691290145.110557,7
4-2,0,net_load,4464,kW,427.50741634720663,606.5190708087599,321.08138272644675,1908393.1065739305,1642151070.8490767,8
4-2,0,net_load,4320,kW,489.2416227631592,675.9042883144099,405.7164675441642,2113523.810336848,1973577342.0750148,9
4-2,0,net_load,4464,kW,369.1900413911724,527.9253342433067,334.55019112705986,1648064.3447701936,1244139827.704289,10
4-2,0,net_load,4320,kW,211.17689717062987,295.87803527504815,116.46746179765172,912284.195777121,378189266.7955218,11
4-2,0,net_load,4464,kW,216.68253035374332,292.09548634163184,83.80931513128867,967270.8154991101,380867467.30211335,12
4-3,0,load,4032,kW,194.8705883349267,240.8236201152557,164.51533334569413,785718.2121664245,233839936.53384128,2
4-3,0,load,4464,kW,163.94214219883804,209.85868705527454,114.77903150677628,731837.722775613,196597544.32936418,3
4-3,0,load,4320,kW,142.35822178253517,177.22978205912975,86.67229808610256,614987.5181005519,135692909.20249906,4
4-3,0,load,4464,kW,166.31954457885635,210.4923887494169,55.30810585411176,742450.4470000147,197786652.10048878,5
4-3,0,load,4320,kW,209.58505116763405,270.91164504861547,34.870512372361034,905407.4210441791,317058275.9071311,6
4-3,0,load,4464,kW,290.5917430007221,359.9921587815121,24.336664839332848,1297201.5407552235,578509197.9709501,7
4-3,0,load,4464,kW,203.9809989833409,254.99046749043902,113.35907670028328,910571.1794616338,290249898.31307113,8
4-3,0,load,4320,kW,287.4667851113561,396.6724765362663,243.81926637252855,1241856.5116810584,679747911.7309116,9
4-3,0,load,4464,kW,196.4208185194376,248.28941482906143,173.55614727109682,876822.5338707694,275195036.0161282,10
4-3,0,load,4320,kW,135.32872939417726,168.8280500460455,72.32713195895931,584620.1109828458,123132573.28375219,11
