scenario,issue_hour,target,n,unit,mae,rmse,bias_predicted_minus_actual,absolute_error_sum,squared_error_sum,lead_hour_end,target_hour_end
3,12,net_load,2004,kW,200.18963279922752,273.38553566787505,84.07993137200559,401180.02412965195,149778260.8292716,9,21
3,12,net_load,2004,kW,203.71984092622225,276.4547875740937,85.58738149318039,408254.56121614936,153160208.14356506,10,22
3,12,net_load,2004,kW,214.1486746578516,280.3724165793427,110.64926656738993,429153.9440143346,157531818.72499514,11,23
3,12,net_load,2004,kW,205.54074454543164,270.5397760611587,104.22973774747835,411903.652069045,146676307.9441687,12,24
3,18,load,2004,kW,167.46687584818918,217.96110975774872,61.17596996587774,335603.6191997711,95204118.91512609,1,19
3,18,load,2004,kW,165.62342568604333,216.09893656125882,60.35122790329625,331909.34507483087,93584295.76734555,2,20
3,18,load,2004,kW,173.20006504278638,228.30524269282324,56.934493330185354,347092.9303457439,104455060.81742196,3,21
3,18,load,2004,kW,181.50698706475646,239.6905521575824,62.60994898065904,363740.00207777193,115132927.83038789,4,22
3,18,load,2004,kW,193.2173113788378,249.23563567361762,91.19928986063317,387207.4920031909,124485277.78762303,5,23
3,18,load,2004,kW,189.2233533533053,244.81821761588128,87.76568791566064,379203.6001200238,120111663.19194049,6,24
3,18,pv,2004,kW,94.84521791417166,147.01410422859783,94.65541761477046,190069.8167,43312746.2716426,1,19
3,18,pv,2004,kW,0.16207470059880238,0.6976709973790169,-0.16207470059880238,324.79769999999996,975.43662045,2,20
3,18,pv,2004,kW,0.0008088822355289421,0.003593990326512562,-0.0008088822355289421,1.621,0.025885200000000004,3,21
3,18,pv,2004,kW,0.0,0.0,0.0,0.0,0.0,4,22
3,18,pv,2004,kW,0.0,0.0,0.0,0.0,0.0,5,23
