day,month,method,rmse_yuan_per_kwh,mae_yuan_per_kwh,bias_yuan_per_kwh,high_realized_price_ge1_rmse,high_realized_price_ge1_mae,high_realized_price_slots,realized_price_weighted_mae,fixed_purchase_absolute_price_exposure_proxy_yuan,fixed_purchase_signed_price_exposure_proxy_yuan
260,9,baseline,0.053377590158064016,0.03947630930097083,-0.024950096438008995,0.05474771572399681,0.04302330187997185,33,0.04134159821061945,2345.8252961418993,-1084.4246969162239
260,9,linked_hgb,0.04508775494465561,0.03250434170678593,-0.009145658108273603,0.04762578438040757,0.03615152252647616,33,0.033886313252188036,2225.2306247169795,-307.96490229100897
261,9,baseline,0.059533176642445756,0.050136182269813596,0.03995746830986245,0.06004077884766619,0.05369350123033288,18,0.05327986233036104,1394.3556020753942,513.4428215002066
261,9,linked_hgb,0.04216368544474607,0.033720564110269184,0.0036980315501014363,0.05588934231158766,0.04374979478976632,18,0.03524095081469004,1273.6813961650782,-191.51499965407857
262,9,baseline,0.04432795490529526,0.03639010433801504,-0.004745048712320817,0.04233599838230163,0.03428678991002185,18,0.03637251510007661,922.9293569973968,40.497389930085504
262,9,linked_hgb,0.05420025645179793,0.04331888221748179,-0.031661570396938794,0.06030880100603925,0.05105593466215614,18,0.047962068045498255,908.4752646919945,-395.183861851816
263,9,baseline,0.07378089737336033,0.06067587639729141,-0.05721865593453771,0.08852243409006612,0.07775454335798475,36,0.06646429317289514,4130.511059730099,-3833.388026786769
263,9,linked_hgb,0.0576787134985284,0.045877969368694815,-0.038349685058626654,0.06777910052398867,0.05744930615099126,36,0.049775731611599476,3045.4496363663784,-2605.471546059619
264,9,baseline,0.05431354020829904,0.04228344411323375,-0.03202977026448136,0.06266962408881539,0.0504501674739849,37,0.045342385913934316,2518.9085972232806,-1890.3222561033576
264,9,linked_hgb,0.03630832556269994,0.028650738162308342,-0.010551016110333393,0.0405953335307911,0.033552406671031806,37,0.030352969662786642,1702.0827710412273,-748.0794508111854
265,9,baseline,0.050645977903512523,0.041879115074570095,-0.017898990184454663,0.05507528058699185,0.046795397804717205,38,0.04459073721853888,2514.7183696083484,-1003.5189730131102
265,9,linked_hgb,0.04255972472327025,0.03473423726547778,0.0005205249620073722,0.04635762063698018,0.035924865655049584,38,0.03524051242559019,2118.6753252679373,228.23195355876186
266,9,baseline,0.041745890164059385,0.03368243347358651,-0.01137644831657571,0.045841872573088936,0.03886185478311727,33,0.034833449787935594,2155.563492724667,-1186.1045959704259
266,9,linked_hgb,0.041033982886550725,0.03270632265361994,0.00048612840577788043,0.03983357320503861,0.03089302603726373,33,0.03367996446873017,2083.2307234389373,-357.576802917072
267,9,baseline,0.04147489467749564,0.03460243600051316,-0.01902677983851296,0.05112869555687043,0.04276677768453632,37,0.03622734446282331,2439.8465367690483,-1588.9176141009318
267,9,linked_hgb,0.03628921968689044,0.029638344445515188,-0.0026814049311828007,0.04333853527196192,0.03737813233097967,37,0.031049698231753974,2010.8796717207777,-393.5652107239595
268,9,baseline,0.0718490854642224,0.06028399036139673,0.05509649438619098,0.05830043567348594,0.0490223836991551,18,0.06059101517305523,1904.9614813139842,1589.00114300502
268,9,linked_hgb,0.052184321863883755,0.043139904783615485,0.02931114822583623,0.032967701985719806,0.029769323015413598,18,0.043701766745810215,1620.5968916956863,1179.014141956871
269,9,baseline,0.052347376652189595,0.041856797293623536,0.001665132304981458,0.04995074715172571,0.04216987324655806,17,0.044255521778259775,1184.2322150544383,-439.68063448558183
269,9,linked_hgb,0.05859950482324116,0.04832144139261945,-0.029740072179093732,0.07892774411757462,0.06743141218125918,17,0.0530974878690725,1281.2810901486246,-968.1938300677384
270,9,baseline,0.08169271276621537,0.06678030338175456,-0.06451990080950812,0.10070113074819058,0.08677468500898657,39,0.07360286520653396,3648.118303984602,-3480.6043093190883
270,9,linked_hgb,0.059193672165409536,0.046862144297106244,-0.042097784359208586,0.06812361986429939,0.05771618170238402,39,0.05106418568784293,2436.334829983921,-2055.3735978947034
271,9,baseline,0.044665071492282396,0.035684497078242006,-0.019190283094186217,0.055401160417837624,0.044896034093620286,36,0.038452231497337584,2104.882584233968,-899.7045522670426
271,9,linked_hgb,0.038308746014992914,0.030821173897317318,-0.003225127809208992,0.04988843292388881,0.04165513504815752,36,0.03314752021097613,2019.6319837839014,69.34372347255142
272,9,baseline,0.0519968824266992,0.040872212582134505,-0.020602576340578417,0.0656651293454701,0.05263459896422704,38,0.04381998064874271,2516.662889545816,-979.3067992948332
272,9,linked_hgb,0.042177520312396646,0.032624018577152795,-0.005248064985090458,0.046771716192526284,0.03461093389696383,38,0.03316979626175196,2096.5659109352505,217.86716912617123
273,10,baseline,0.07171791873987898,0.052824426574739645,0.0357965611636822,0.05314310425974103,0.04489255669775305,30,0.050119750603167895,2799.357353814825,1051.663128856349
273,10,linked_hgb,0.07677186554490835,0.05745992142852802,0.047901049545059166,0.0543443078586905,0.044322119164570156,30,0.055453654049269156,2923.22898829321,1948.9627355737575
274,10,baseline,0.04427440516216556,0.03516026430113625,0.02097632700140726,0.034755314557140676,0.0283864662001096,33,0.03479149219204792,1935.2649822906337,907.2004800300264
274,10,linked_hgb,0.049980182596623395,0.039259531721114654,0.028454475014639984,0.03234528223121794,0.02575065852542184,33,0.038430068950323464,2173.598108229933,1403.4361953069251
275,10,baseline,0.09733283149071056,0.07959549755136908,0.0747967464864255,0.06455368820075869,0.05917863030474118,18,0.07603740150505137,1743.3895907576784,1258.321605050094
275,10,linked_hgb,0.06794130211709154,0.053728695576217386,0.04289856388244124,0.03702260040628887,0.031030957856425512,18,0.049432412188037664,1442.2748805029387,816.849603158816
276,10,baseline,0.042142081716228554,0.03426751822319752,0.012522328072241686,0.049441293649698695,0.04308669139924179,18,0.035801467994991586,785.0281171731372,435.35354504752786
276,10,linked_hgb,0.04184766696457343,0.034395061805180024,-0.013462896642682298,0.03525692898971178,0.03150959446698541,18,0.036652632388844336,711.7617996641707,100.9639323332735
277,10,baseline,0.0444345731205721,0.03433823456816912,-0.005834729814755365,0.046919701391264904,0.03307542265419898,33,0.03397776146335966,1951.6678591599118,-692.2189517041419
277,10,linked_hgb,0.04017418541829214,0.0329053627663926,0.0008773645082338043,0.0425510962847957,0.03416169145618457,33,0.03330707666747156,1823.8379027068595,-131.42772609057596
278,10,baseline,0.0428270005161202,0.03343126678221567,0.006369592083934694,0.045078095331176966,0.03511897477639654,35,0.033449774832164665,1957.9904445091986,-166.4911731028933
278,10,linked_hgb,0.0403179901269229,0.03165734745965179,0.00860734883461959,0.03812049496815731,0.029620470779986974,35,0.031447700878587184,1818.833110571224,160.10754904224683
279,10,baseline,0.04575867041789899,0.037305338604693455,0.015042131450496328,0.0442683743379799,0.03534371038805524,36,0.037592818463278756,2227.478719048584,179.05889209743845
279,10,linked_hgb,0.04373707900703263,0.0354926948993408,0.016990580838162163,0.042067009277776554,0.034819371215268353,36,0.03626691759813686,2179.5839040425294,591.4615570547701
280,10,baseline,0.0537502812381551,0.04076192099943137,-0.023660896588002762,0.049791159637272896,0.03873011143387054,33,0.040469443406184386,1935.1344319916795,-1153.763809158101
280,10,linked_hgb,0.04442912163649568,0.03500790772955477,-0.013050998047612093,0.0430714102852594,0.036195335644722895,33,0.03580322616515179,1712.5440490580943,-634.5253550863979
281,10,baseline,0.042290268737829526,0.03388161883677746,-0.01740319994617088,0.046937909121240094,0.037231362794461084,33,0.03498941473980712,1977.0821782113294,-1041.1948855046114
281,10,linked_hgb,0.03667552242658617,0.030167904554062406,-0.006779564935424856,0.045930529123138525,0.03762741297992872,33,0.03162480636309976,1760.5843804437104,-484.9545615659713
282,10,baseline,0.06776028694879509,0.05598347996823669,0.04653037844540486,0.053696821623522295,0.04348059545136572,18,0.05194705341336495,1292.7182129519856,308.65322930977163
282,10,linked_hgb,0.05178583265353544,0.04258125736881903,0.026976812934516134,0.04337455842729035,0.03598779789710379,18,0.039296050801408196,1097.6708768030712,76.50895965103376
283,10,baseline,0.04100031325051223,0.032413012839857286,0.001039076888970765,0.046652990337983896,0.03929481192047305,18,0.03225464567881929,680.7374353071962,-180.528783043281
283,10,linked_hgb,0.0462710197712102,0.03742209597501854,-0.023327368416671695,0.05721487458685502,0.04779400219745777,18,0.03832133292211839,697.0320687798888,-384.33473401330434
284,10,baseline,0.07270264692279671,0.06010640840328943,-0.049150854416971396,0.07195739762135098,0.06087774942110422,33,0.06295990757974373,3068.039795175563,-2059.4434675731836
284,10,linked_hgb,0.059714926110402175,0.047984247110266456,-0.03532112725697729,0.0606153386960339,0.04974330893654182,33,0.04998718137831947,2395.1205710466184,-1180.60380194947
285,10,baseline,0.04052494926897694,0.030245220748369724,-0.0023846524948906824,0.04349704918786211,0.03289623828731615,37,0.030324259242760564,1794.6561777511702,-468.15760083818293
