name,seed,case_id,exploratory,target,lead_start_hour,lead_end_hour,n,absolute_error_sum,squared_error_sum,signed_error_sum,actual_abs_sum,mae,rmse,wape_pct,bias
oracle_season,42,oracle_season_seed_42,True,load,20.0,24.0,8016,1717425.781401631,622235406.7361052,972655.2080907642,30697741.134099998,214.24972322874638,278.6111582242159,5.594632432071236,121.33922256621311
oracle_season,42,oracle_season_seed_42,True,pv,20.0,24.0,8016,3171.7710504143215,51221.794250336316,3169.579250414322,1.621,0.39568002125927165,2.5278339329368587,195667.5540045849,0.39540659311555915
oracle_season,2026,oracle_season_seed_2026,True,load,0.0,4.0,8016,1617228.8888676846,531629223.6932243,1007098.4944603996,27935677.339499995,201.7501108866872,257.52866042398756,5.789116437785397,125.63603972809376
oracle_season,2026,oracle_season_seed_2026,True,pv,0.0,4.0,8016,4353.945071155312,84284.45529051588,4351.717071155312,1.6239000000000001,0.5431568202539062,3.2426112711213593,268116.57559919404,0.5428788761421297
oracle_season,2026,oracle_season_seed_2026,True,load,4.0,8.0,8016,1497850.5340795899,436994857.39640296,874279.0617789942,32783673.431,186.85760155683508,233.4851740935757,4.568891699193274,109.06674922392642
oracle_season,2026,oracle_season_seed_2026,True,pv,4.0,8.0,8016,773544.6227451307,285887826.06569755,-370539.141563557,7868652.727799999,96.50007768776581,188.85086433556933,9.830712442197287,-46.224942809824974
oracle_season,2026,oracle_season_seed_2026,True,load,8.0,12.0,8016,1492753.3733998928,437939493.4330893,873246.8518052031,46507328.0133,186.22172821854952,233.73739610609863,3.209716483761442,108.93798051462115
oracle_season,2026,oracle_season_seed_2026,True,pv,8.0,12.0,8016,4298782.797116652,4002298380.1724343,-2741469.823286796,50642302.90439999,536.2752990414986,706.603651336017,8.488521553278648,-341.9997284539416
oracle_season,2026,oracle_season_seed_2026,True,load,12.0,16.0,8016,1621048.7040314802,539283334.0090518,956967.770019904,45186244.1546,202.2266347344661,259.37591449687324,3.587482727011415,119.38220683881038
oracle_season,2026,oracle_season_seed_2026,True,pv,12.0,16.0,8016,4081026.279911896,3562651805.7529125,-2619004.575825609,49192026.388000004,509.1100648592685,666.6652762354119,8.296113373584117,-326.7221277227556
oracle_season,2026,oracle_season_seed_2026,True,load,16.0,20.0,8016,1726530.92402353,624982260.9859514,1032753.9656868275,38937812.863000005,215.3855943143126,279.2254446238615,4.434072684303582,128.836572565722
oracle_season,2026,oracle_season_seed_2026,True,pv,16.0,20.0,8016,617355.5156182472,202437104.02076697,-320508.3444459045,6710354.7006,77.01540863501089,158.91547987250848,9.200042965881476,-39.9835759039302
oracle_season,2026,oracle_season_seed_2026,True,load,20.0,24.0,8016,1753940.658131563,634991881.2462108,1069428.113271924,30697741.134099998,218.80497232180178,281.4525786836585,5.7135821507831785,133.41169077743564
oracle_season,2026,oracle_season_seed_2026,True,pv,20.0,24.0,8016,5409.158150846162,109468.56113034196,5407.453750846163,1.621,0.6747951784987727,3.69543740659217,333692.6681583073,0.6745825537482738
oracle_season,3407,oracle_season_seed_3407,True,load,0.0,4.0,8016,1602071.4469577386,519739873.1334053,970434.487763517,27935677.339499995,199.85921244482768,254.63269335383157,5.734858072306233,121.06218659724513
oracle_season,3407,oracle_season_seed_3407,True,pv,0.0,4.0,8016,7524.448211112609,236076.96821716096,7521.9246111126085,1.6239000000000001,0.9386786690509742,5.426851719733015,463356.6236290787,0.9383638486916926
oracle_season,3407,oracle_season_seed_3407,True,load,4.0,8.0,8016,1524613.0488862414,451071292.181929,918549.8031169854,32783673.431,190.19623863351316,237.21586958964355,4.650525366216522,114.58954629702912
oracle_season,3407,oracle_season_seed_3407,True,pv,4.0,8.0,8016,736118.94073901,253228095.69438305,-321745.7560448566,7868652.727799999,91.83120518201223,177.73669092002214,9.355082327350617,-40.137943618370336
oracle_season,3407,oracle_season_seed_3407,True,load,8.0,12.0,8016,1475094.946639116,434271781.0767026,782709.8751928514,46507328.0133,184.0188306685524,232.75657110338307,3.1717473560667115,97.64344750409823
oracle_season,3407,oracle_season_seed_3407,True,pv,8.0,12.0,8016,4294425.866313911,3966507295.7037573,-2826161.661317773,50642302.90439999,535.7317697497394,703.4371076607357,8.479918210711535,-352.56507750970223
