run_id,rl_seed,cutoff_day,iteration_at_cutoff,global_iteration,transitions,training_start_day,training_end_day,history_days,max_observed_index,rollout_seconds,update_seconds,mean_episode_reward,mean_episode_cost_yuan,mean_episode_throughput_kwh,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,gradient_norm
cost_only_3407,3407,171,29,643,4608,81,170,90,24623,0.042552458005957305,0.030469666933640838,-45.89193344116211,46220.70891902558,25855.518436888695,0.11212674305877751,-0.003446973084161679,0.27599270393451053,2.2422637939453125,0.002146340241552025,0.019314236111111112,1.6673241903384526
cost_only_3407,3407,171,30,644,4608,81,170,90,24623,0.04395416704937816,0.031232999986968935,-42.989376068115234,43065.597569601916,24565.58074415048,0.15757149685588148,-0.0034055241073171296,0.3674495658940739,2.2747763196627298,0.0020740897124495758,0.010308159722222222,1.7113441013627582
cost_only_3407,3407,171,31,645,4608,81,170,90,24623,0.04458433308172971,0.02976779208984226,-44.5936164855957,44538.23391861089,25625.987412717164,0.36861420008871293,-0.0022035159506938523,0.7869933860169517,2.2678977714644537,0.0012047917353280961,0.004991319444444444,2.2026718821790485
cost_only_3407,3407,171,32,646,4608,81,170,90,24623,0.042765042046085,0.02972658397629857,-46.14059066772461,46114.275022499714,26866.454368684015,0.35597947653796935,-0.0023925505940698916,0.7615117016765807,2.23838253153695,0.0009853324844976265,0.0017903645833333333,2.332100576824612
cost_only_3407,3407,171,33,647,4608,81,170,90,24623,0.04312083311378956,0.03003712510690093,-46.778076171875,47001.96752033424,28284.028760514353,0.12156164521972339,-0.0015161717698598902,0.2900773353046841,2.1960852212376065,0.0008746905781814954,0.004123263888888889,1.7287570387125015
cost_only_3407,3407,171,34,648,4608,81,170,90,24623,0.042803082964383066,0.02901254198513925,-44.021339416503906,44365.97276598187,25456.821214567764,0.16370925943677625,-0.003208495346674075,0.37998118499914807,2.3072839048173694,0.001485897488641462,0.009548611111111112,1.737260889675882
cost_only_3407,3407,171,35,649,4608,81,170,90,24623,0.04383708303794265,0.031913124956190586,-43.91114044189453,43761.88990669462,26924.122833286892,0.13625102448794577,-0.0026703624106529686,0.32320970710780883,2.268346826235453,0.0013678158240963967,0.005154079861111111,1.9360205911927753
cost_only_3407,3407,171,36,650,4608,81,170,90,24623,0.044834582949988544,0.030375874950550497,-49.82843780517578,49201.415950657014,26242.43235214885,0.38615848537948394,-0.001790947617135114,0.8209528161419762,2.252697673108843,0.0010450042433881714,0.002875434027777778,3.32282472981347
cost_only_3407,3407,171,37,651,4608,81,170,90,24623,0.0445516660111025,0.030683499993756413,-45.79768753051758,45635.56971711998,27260.37822747198,0.3397524017426703,-0.0024440246634185314,0.7296638190746307,2.263548208607568,0.0010555404604449198,0.0015190972222222222,2.1809704966015286
cost_only_3407,3407,171,38,652,4608,81,170,90,24623,0.0433838750468567,0.030444832984358072,-44.349327087402344,44097.129888552634,24169.614990147187,0.2578277283658584,-0.001347852004174557,0.5645087121261491,2.3078773154152765,0.0007456231148302726,0.0017903645833333333,1.8526287741131253
